"Protein IDs","Gene Names","t-test P2-Adh Difference","t test P2 Adh p value","t-test Difference_P5-Adh","t-test p value_P5-Adh"
Q9UNE7;Q9UNE7-2,CHIP;PP1131;STUB1,-1.39,0.00134,-1.3,0.00133
Q9UNF0;Q9UNF0-2;B0QYG8;B0QYG7,PACSIN2,-0.63,0.00123,-0.79,0.000812
Q9UNS2;B4DY81;C9JLV5,COPS3;CSN3,-0.57,0.00459,NA,NA
Q9UNZ2-5;Q9UNZ2;Q9UNZ2-6;Q9UNZ2-4;F2Z2K0,NSFL1C;UBXN2C,-0.76,0.000651,-0.84,2.42E-05
Q9UPN9;Q9UPN9-2;H0Y612;E7EN20,KIAA1113;RFG7;TIF1G;TRIM33,NA,NA,0.52,0.0011
Q9UPT8,C19orf7;KIAA1064;ZC3H4,NA,NA,0.94,0.000685
Q9UPU5;B7WPF4,KIAA1057;USP24,8.81,2.88E-06,NA,NA
Q9UQ35;F5GWZ7;Q9UQ35-2;Q9UQ35-3,HSPC075;KIAA0324;SRL300;SRM300;SRRM2,0.93,0.000155,2.01,0.0049
Q9UQ90;Q9UQ90-2;H0Y2R1,CAR;CMAR;PGN;SPG7,9.06,2.1E-06,8.32,1.37E-05
Q9UQB8;Q9UQB8-2;Q9UQB8-6;Q9UQB8-4;Q9UQB8-5;Q9UQB8-3;F8W878;B4DWA1,BAIAP2,-0.47,0.00427,NA,NA
Q9UQE7,BAM;BMH;CSPG6;SMC3;SMC3L1,0.96,0.000648,1.49,0.00151
Q9Y230;B3KQ59,CGI-46;INO80J;RUVBL2;TIP48;TIP49B;hCG_16214,1.08,0.000402,1.35,4.42E-05
Q9Y265;Q9Y265-2;E7ETR0,INO80H;NMP238;RUVBL1;TIP49;TIP49A,1.01,7.81E-05,0.94,0.00341
Q9Y276;C9J8G3;C9JKM6;C9JAS4;C9J1S9;C9J4Q9,BCS1;BCS1L,NA,NA,1.17,0.000537
Q9Y2D0;C9JA11;C9IZP3,CA5B,-9.96,3.62E-07,NA,NA
Q9Y2W1,THRAP3;TRAP150,NA,NA,0.94,0.00478
Q9Y2W6;Q5SZR4;Q9Y2W6-3;B4DJ68;E9PKN8;B7ZAG4;E9PQX4,TDRD2;TDRKH;hCG_16924;RP11-98D18.8-003,NA,NA,-0.99,0.0034
Q9Y2X3;F8WED0,HSPC120;NOL5;NOP5;NOP58,1.9,0.000236,2.36,0.000164
Q9Y365;F5H1Z6;F5H8H3;F5GY11;F5H8G1;H0YFF3;H0YGA9;F5H0V7;H0YH17;F5GWK5;F5H3G8;F5H5A8;F5GY07;H0YGN8,CGI-52;SDCCAG28;STARD10,NA,NA,-0.98,0.00848
Q9Y3D6,CGI-135;FIS1;TTC11,-0.66,0.0045,-1.02,0.00104
Q9Y3D9,CGI-138;HSPC329;MRPS23,NA,NA,0.86,0.00308
Q9Y3I1;Q9Y3I1-2;Q5TI86;F8WDR9;F8WBR0,FBX7;FBXO7;LL22NC03-28H9.2-002,NA,NA,8.48,2.51E-05
Q9Y3L5,RAP2C,0.62,0.00427,NA,NA
Q9Y3P9;Q9Y3P9-2;Q9Y3P9-3;C9JGR5;B7Z2B4;Q9Y3P9-4;F8W752;Q5R372-3;Q5R372;Q5R372-4;E9PS63,HSPC094;RABGAP1,NA,NA,-1.41,0.00973
Q9Y3T9,NOC2L,NA,NA,11.55,1.04E-05
Q9Y446;E9PK71;E9PKC4;E9PRW6;H0YEY5;E9PQ15,PKP3,0.76,0.000146,0.61,0.0103
Q9Y4Z0,LSM4,NA,NA,0.86,0.0104
Q9Y5P6-2;Q9Y5P6,GMPPB,-1.01,7.13E-05,-0.73,0.000911
Q9Y5S9;Q9Y5S9-2,HSPC114;MDS014;RBM8;RBM8A,0.62,0.000131,NA,NA
Q9Y5Z4;Q9Y5Z4-2;Q5THN1;C9IZA0,C6orf34;HEBP2;SOUL,NA,NA,-0.53,0.00295
Q9Y619;B4DL63;Q5VZD9,ORNT1;SLC25A15;SP1855,9.84,9.68E-05,8.87,0.000111
Q9Y678;F5GXH1;H0Y8X7;D6RG17;H0Y8G2,COPG;COPG1,NA,NA,-0.64,0.00867
Q9Y696;F5H1F8;Q9NZA1;Q9NZA1-2;Q8NBY3;A6PVS0;P12273,CLIC4,NA,NA,0.91,0.0039
Q9Y697;Q9Y697-2;F5GYK5;F2Z2E7;B4DNL7;Q8WV90;B4DHP7;F8WB23;F8WCX6;A2A2M1;F8WER8;H0YGN5,HUSSY-08;NFS1;NIFS,NA,NA,0.72,0.0048
Q9Y6A1;Q9Y6A1-2;Q9Y6A1-3;Q9Y6A1-4;F5H3Z3;B4DI80;Q5JT02;Q5JT03,POMT1;RP11-334J6.2-012,NA,NA,9.02,1.55E-06
Q9Y6B6;D6RD69;Q9H029;D6R9R5;D6RDB2;D6RAA2,SAR1B;SARA2;SARB;DKFZp434B2017,-0.87,0.00052,-1.1,0.00784
Q9Y6K5;F5GWB8;F8VS35;F8VWK9;F8VW22,OAS3;P/OKcl.4,-9.33,1.03E-05,-9.43,1.18E-05
Q9Y6Q5,AP1M2,-0.5,0.00188,NA,NA
