"Protein IDs","Gene Names","t-test P2-Adh Difference","t test P2 Adh p value","t-test Difference_P5-Adh","t-test p value_P5-Adh"
H0YL70;H0YKN8;Q04726;H0YKT5;E9PD64;F8W964;Q04726-2;H0YNT2;H0YLI3;B4E2W3;H0YNI7;H0YKH5,KIAA1547;TLE3,NA,NA,9.75,2.01E-05
H0YLN1;Q9NPI6,DCP1A;SMIF,-9.05,0.000217,NA,NA
O00151,CLIM1;CLP36;PDLIM1,NA,NA,0.89,0.00229
O00159;F5H3W9;O00159-3;F5H6E2;O00159-2;F5H730,MYO1C,NA,NA,0.33,0.00423
O00186,STXBP3,1.33,0.000866,0.67,0.00318
O00203;E5RJ68;F5GXG9;F5H093;H0YBD0;B7ZKS0;Q13367;B7ZKR7;F5GWU4,ADTB3A;AP3B1,NA,NA,-0.43,0.00969
O00204;O00204-2,HSST2;SULT2B1,-1.18,0.00096,-1.19,0.00385
O00244;E5RIM7;E5RGN3,ATOX1;HAH1,NA,NA,-0.87,0.00246
O00299,CLIC1;NCC27,-0.54,0.00252,-0.57,0.0081
O00391;O00391-2;A8MXT8,QSCN6;QSOX1;UNQ2520/PRO6013,-8.71,6.32E-05,-8.95,2.57E-05
O00469-2;O00469;E7ETU9;B3KWS3;C9JXZ0,PLOD2,NA,NA,-0.81,0.00629
O00471;F8W9B8,EXOC5;SEC10;SEC10L1,NA,NA,0.41,0.0101
O00526,UPK2,-8.08,3.3E-05,-8.57,1.4E-05
O00541;O00541-2;B5MCF9;C9JXJ1;B3KXD6,PES1,1.3,0.00186,NA,NA
O00567;Q5JXT2;H0YDU4;E9PDI8;H0Y653,NOL5A;NOP56,1.32,0.000984,1.74,0.00173
O00754;G5E928;B4E0K9,LAMAN;MAN2B1;MANB,-0.69,0.006,-0.76,0.0019
O00764;F2Z2Y4;F2Z3F8;O00764-3;O00764-2;A8MV33,C21orf124;C21orf97;PDXK;PKH;PNK;PRED79,NA,NA,-1.04,0.00649
O00767,SCD,NA,NA,-10.98,5.9E-05
O14579;F5H1E1;A6NKA3;A6NE29,COPE;hCG_2001439,NA,NA,-0.94,0.00721
O14933;E9PQT7;O14933-2;E9PKW8,UBCH8;UBE2L6,-8.72,2.36E-05,NA,NA
O14950;P19105;P24844;Q9BUF9,MRLC2;MYL12B;MYLC2B;MLCB;MRLC3;MYL12A;RLC;MLC2;MRLC1;MYL9;MYRL2;hCG_1645602;RP5-977B1.9-002,-0.51,7.71E-05,NA,NA
O14980;C9JKM9;C9J673;C9JV99;C9JQ02;C9IZS4;F8WF71;C9IYM2;C9JF49,CRM1;XPO1,NA,NA,0.67,0.00242
O15014,KIAA0295;ZNF609,8.08,8.83E-05,8.63,0.000434
O15020;O15020-2;A4QPE4;E9PJZ2,KIAA0302;SPTBN2,1.13,0.00332,1.05,0.00519
O15042;O15042-2;E7ET15;O15042-3;C9JB80;H0Y8D9;E7EW00;C9J5L1;C9JDJ7,KIAA0332;SR140,0.96,0.00234,1.22,0.00331
O15075;O15075-2;B7Z2T7;O15075-4;O15075-3;Q5VZY9;O43602;O43602-3;O43602-5;O43602-4;O43602-2,DCAMKL1;DCDC3A;DCLK1;KIAA0369;RP11-113P14.1-001,-9.51,2.27E-05,-8.39,0.000131
O15144;E7EWG5;G5E9J0;C9JTV5;G5E9S7,ARC34;ARPC2;PRO2446,NA,NA,0.21,0.00557
O15347;E7EQU1;E7ES08;E9PES6;P0C6E5,HMG2A;HMG4;HMGB3,NA,NA,-1.05,0.00166
O15460;O15460-2;E7EPI9;E7ENX0;E7ERI1;A8MXE0;C9JX45;C9JCP0;C9JIG4;C9JN43,P4HA2;UNQ290/PRO330,-2.48,0.00235,-2.83,0.00155
O43143;F5H6K0,DBP1;DDX15;DHX15,NA,NA,0.71,0.000441
O43172;O43172-2,PRP4;PRPF4,0.95,0.00252,0.85,0.00265
O43175;Q5SZU1;F5H634;F5GYN9,PGDH3;PHGDH;RP4-683H9.1-002,1.47,0.000899,1.38,0.00117
O43278;F5H877;O43278-2,HAI1;SPINT1;UNQ223/PRO256,-0.64,0.00575,NA,NA
O43290;G3V1T2;E9PQI8;E9PN28,SART1,1.21,0.000512,1.95,0.00296
O43291;B4DLU1,HAI2;KOP;SPINT2;hCG_42856,-0.81,0.00585,NA,NA
O43395;E7EVD1;B4DSY9;REV__Q5GJ75;REV__Q8WVP5,HPRP3;PRP3;PRPF3,1.02,0.00108,1.26,0.000139
O43615,MIMT44;TIM44;TIMM44,1.06,0.0016,1.28,0.00836
O43684;O43684-2;B4DDM6,BUB3,NA,NA,1,0.00723
O43707;D6PXK4;E7EV83;F5GXS2;G3V2E8,ACTN4,0.85,0.00441,NA,NA
O43765;E7EMJ6,SGT;SGT1;SGTA,NA,NA,-0.7,0.00238
O43795-2;O43795;E9PDF6;E7EPB4;E9PHK2;E7EQD9;C9JYW1;C9JUP5,MYO1B,1.24,0.000427,1.12,0.000693
O43809;Q5HYH5,CFIM25;CPSF25;CPSF5;NUDT21,NA,NA,0.83,0.000868
O60264;F5GZI1;REV__Q00610;REV__Q00610-2,SMARCA5;SNF2H;WCRF135,NA,NA,1.14,0.000382
O60271-4;O60271;O60271-2;O60271-5;O60271-9;O60271-3;F5H7U6;F5H7H7;Q9UPT6-2;H0YBS5;D6RHI8,HLC6;HSS;KIAA0516;MAPK8IP4;SPAG9;SYD1,NA,NA,-0.78,0.00323
O60318;B3KT88,GANP;KIAA0572;MAP80;MCM3AP,NA,NA,7.45,2.18E-05
O60476;A6NLR2;H0Y7H1;E9PGS2;H0Y543,MAN1A2;MAN1B,NA,NA,10.11,2.07E-05
O60506;O60506-2;O60506-3;O60506-4;O60506-5;F6UXX1,HNRPQ;NSAP1;SYNCRIP,0.84,0.0046,0.78,0.00625
O60568;F5H723;C9JU11;C9JIX5,PLOD3,NA,NA,-0.85,0.00366
O60701;O60701-2;B4DN25;E7EV97;E7ETF4;E7ER83;E7ER95;E9PBD2;D6RHF4,UGDH,1.76,0.00358,NA,NA
O60716;O60716-2;O60716-3;C9JZR2;O60716-5;O60716-9;O60716-10;O60716-11;O60716-13;O60716-17;O60716-18;O60716-19;O60716-21;O60716-4;F8WA43;O60716-6;O60716-7;E9PIE5;O60716-8;O60716-12;O60716-14;O60716-15;O60716-16;O60716-20;O60716-22;O60716-23;O60716-24;O60716-25;O60716-26;O60716-27;O60716-29;O60716-28;O60716-30;O60716-31;O60716-32;E9PRE2;E9PKY0;H0YC95;E9PKL1,CTNND1;KIAA0384,NA,NA,0.44,0.00846
O60830,JM3;TIM17B;TIMM17B,1.38,0.00283,NA,NA
O60888-2;O60888;O60888-3;C9IZG4;C9IZQ5,ACHAP;C6orf82;CUTA,NA,NA,-1.28,0.00392
O60936-2;O60936,ARC;NOL3;NOP,-2.91,0.00122,-2.84,0.00135
O75083;A8MVA9;O75083-3;B4DY05;D6RD66,WDR1,NA,NA,-0.5,0.00544
O75131;E5RG68;E5RHZ0;H0YB26;E5RJ85;E5RG97;E5RFT7;Q9UBL6;F5GXN1;Q9HCH3;Q96A23-2;Q86YQ8;Q9UBL6-2;O95741;Q96A23;Q8IYJ1;E7ENV7;Q7Z6C8;Q86VY2,CPN3;CPNE3;KIAA0636,NA,NA,-0.69,0.00718
O75223;B8ZZK2;E7EU55;B8ZZN4;B8ZZR8;O75223-2,C7orf24;CRF21;GGCT,-0.89,0.00626,-1.1,0.00318
