Accession,Gene,114:113,"PVal 114:113",115:113,"PVal 115:113",116:113,"PVal 116:113",117:113,"PVal 117:113",118:113,"PVal 118:113",119:113,"PVal 119:113",121:113,"PVal 121:113"
P28288,ABCD3,1.008,0.9323,1.47,0.0574,0.797,0.0296,2.871,0.0333,2.06,0.1029,2.246,0.0502,2.155,0.0887
Q8N1A4,-,0.852,0.1195,0.932,0.6974,0.851,0.1154,0.297,0.0464,0.3,0.0614,0.251,0.0416,0.251,0.043
Q5JR94,RPS8,0.859,0.0673,0.724,0.0092,0.865,0.0726,1.545,0.0591,1.411,0.0906,1.454,0.1152,1.323,0.0822
B4DJA0,NDUFS1,0.749,0.0532,1.033,0.7433,0.944,0.6207,3.197,0.0008,1.898,0.0011,2.247,0.0004,2.219,0.0023
Q6IAX9,SRPR,0.797,0.0466,0.946,0.7738,0.702,0.0044,1.79,0.0011,1.174,0.1073,1.21,0.0444,1.279,0.0547
Q8NFW8,CMAS,1.301,0.0674,1.015,0.9269,0.938,0.5851,0.618,0.0052,0.558,0.0077,0.609,0.0042,0.583,0.0048
Q8N1G4,LRRC47,0.942,0.506,0.962,0.772,0.962,0.5129,0.393,0.016,0.383,0.0182,0.369,0.0129,0.413,0.011
Q86U86,PBRM1,0.957,0.6261,1.039,0.63,0.852,0.0163,0.9,0.3826,0.922,0.4997,0.832,0.0981,0.797,0.0321
Q6IBS5,DLST,0.953,0.1713,2.218,0.0031,2.424,0.0021,0.63,0.0474,0.864,0.2937,1.139,0.0624,0.958,0.6768
B4DWA6,-,1.174,0.324,1.108,0.4449,1.264,0.0064,1.129,0.5398,0.893,0.5323,1.027,0.8987,1.124,0.4612
P31942,HNRNPH3,0.92,0.3896,0.79,0.3253,1.063,0.2749,0.439,0.0222,0.492,0.045,0.444,0.0187,0.452,0.0206
Q8WXF1,PSPC1,1.562,0.0019,1.093,0.3386,1.382,0.0037,0.244,0.0014,0.224,0.0024,0.188,0.0019,0.229,0.0009
Q6NXR8,RPS3A,0.808,0.2132,0.796,0.0114,0.734,0.155,1.359,0.2152,1.376,0.3422,1.495,0.1285,0.978,0.9389
O75934,BCAS2,0.998,0.9867,1.133,0.4516,1.041,0.6897,0.385,0.001,0.378,0.0003,0.377,0.0017,0.453,0.0004
Q13769,THOC5,1.298,0.0052,0.702,0.0035,0.981,0.8403,0.276,0.0001,0.313,0.0001,0.355,0.0001,0.363,0.0003
P62249,RPS16,0.542,0.0067,0.474,0.0177,0.714,0.0153,1.469,0.0299,1.358,0.201,1.426,0.0183,1.306,0.1871
Q9Y5M8,SRPRB,0.798,0.0142,0.918,0.668,0.757,0.0134,1.23,0.178,0.921,0.6399,1.074,0.6128,1.249,0.164
Q14CV6,C6orf150,0.722,0.0781,0.751,0.2869,0.705,0.1516,2.161,0.018,1.859,0.0273,1.472,0.0203,1.787,0.0486
P49916,LIG3,0.941,0.3096,0.829,0.0809,0.798,0.0428,0.506,0.0006,0.476,0.0006,0.474,0.0017,0.48,0.0006
Q9Y3T9,NOC2L,0.758,0.1046,0.599,0.0968,0.741,0.0203,1.171,0.0739,1.387,0.0153,1.26,0.0768,1.198,0.1856
A8K4A1,-,1.055,0.5351,0.959,0.9024,1.257,0.006,0.565,0.002,0.709,0.0359,0.618,0.002,0.753,0.0068
P14868,DARS,1.447,0.0613,1.816,0.014,1.148,0.0997,0.881,0.1977,0.99,0.903,1.359,0.0259,0.966,0.8594
Q02543,RPL18A,0.809,0.0146,0.665,0.0234,0.98,0.6859,1.733,0.119,1.342,0.2679,1.599,0.1388,1.195,0.7314
Q99715,COL12A1,1.724,0.0049,1.344,0.1226,1.246,0.0537,0.943,0.7471,2.277,0.0034,1.676,0.0244,1.333,0.1408
Q9NP81,SARS2,0.469,0,0.638,0.0005,0.892,0.0569,0.291,0,0.259,0.0002,0.257,0,0.277,0.0002
O00425,IGF2BP3,0.848,0.1975,0.847,0.2826,1.018,0.5406,0.285,0.0107,0.29,0.0137,0.314,0.0139,0.289,0.0145
Q6FHM6,NHP2L1,0.959,0.7339,0.919,0.4205,0.829,0.0722,1.043,0.7225,1.335,0.0462,1.023,0.822,1.055,0.5519
Q96A33,CCDC47,1.06,0.6228,1.16,0.0264,0.961,0.6174,2.393,0.0217,1.796,0.0384,1.938,0.0369,1.821,0.0345
Q9P258,RCC2,0.854,0.0743,0.647,0.0037,0.666,0.0018,0.971,0.6778,0.672,0.0034,0.611,0.0028,0.653,0.0012
Q9BY44,EIF2A,0.921,0.2798,0.855,0.2395,0.886,0.0158,0.613,0.0007,0.616,0.0004,0.521,0.0002,0.579,0.0004
Q9H1A4,ANAPC1,0.898,0.0669,0.919,0.5929,1.078,0.5602,0.517,0.0117,0.59,0.0072,0.68,0.0197,0.702,0.0013
P17987,TCP1,1.121,0.3093,1.034,0.688,1.165,0.1722,1.313,0.0877,1.752,0.0199,1.74,0.0319,1.626,0.0412
B3KMV5,-,0.967,0.6472,1.149,0.5027,1.15,0.3823,1.584,0.0881,1.701,0.0868,2.116,0.0545,2.302,0.0477
Q5HY50,RPL10,0.816,0.001,0.578,0.1944,0.805,0.1087,1.713,0.049,1.586,0.008,1.501,0.0475,1.39,0.0184
Q08426,EHHADH,1.069,0.3151,0.974,0.7144,1.047,0.4185,0.332,0.0004,0.322,0.0005,0.366,0.0004,0.32,0.0001
Q9H8H0,NOL11,0.867,0.1663,0.956,0.7467,0.775,0.0438,0.844,0.0105,0.906,0.0411,0.781,0.0104,0.832,0.003
Q9NZJ7,MTCH1,1.01,0.9281,1.08,0.4739,0.913,0.1223,2.75,0.024,1.981,0.0206,1.895,0.0384,1.875,0.0216
Q14152,EIF3A,1.162,0.2233,2.176,0.0819,1.417,0.0931,1.117,0.4654,1.869,0.0446,1.728,0.1109,1.608,0.0741
Q8TCS8,PNPT1,0.778,0.0311,0.817,0.0161,1.092,0.1711,0.801,0.0006,0.558,0,0.608,0,0.867,0.0121
Q9NV31,IMP3,0.667,0.1937,0.672,0.0109,0.685,0.0141,1.058,0.6655,1.294,0.0092,0.936,0.5321,0.938,0.309
Q08379,GOLGA2,0.697,0.003,0.785,0.0259,1.006,0.8744,0.546,0.0002,0.455,0.0001,0.485,0,0.565,0.0003
A8K402,-,1.196,0.111,1.163,0.3084,1.294,0.0248,0.943,0.7051,1.453,0.1651,1.349,0.2041,1.257,0.3732
B4DYH1,HSPH1,1.087,0.5724,1.014,0.9419,1.582,0.0006,0.722,0.1357,1.089,0.5095,0.98,0.8694,0.738,0.0664
O43175,PHGDH,1.161,0.2563,1.083,0.2864,0.928,0.5669,2.513,0.0238,3.88,0.0085,3.416,0.0119,3.091,0.0079
Q9BTX1,TMEM48,1.023,0.7204,1.165,0.1865,0.82,0.1754,3.159,0.0328,3.701,0.0178,2.84,0.0125,2.632,0.0173
P12268,IMPDH2,1.268,0.0138,0.832,0.3902,1.027,0.6755,0.742,0.172,1.05,0.7686,0.758,0.0989,0.77,0.1545
Q4W5T8,PKP4,0.931,0.1343,0.817,0.0471,0.874,0.1268,1.66,0.0942,1.542,0.1125,1.575,0.0667,1.647,0.0895
P62277,RPS13,0.556,0.0134,0.471,0.0285,0.684,0.0396,1.591,0.0384,1.277,0.1829,1.293,0.1159,1.291,0.0872
Q6PJT7,ZC3H14,0.926,0.4807,0.918,0.5978,0.921,0.2281,0.662,0.0202,0.597,0.0292,0.599,0.0567,0.739,0.0587
Q5JTV8,TOR1AIP1,1.274,0.0658,1.11,0.3339,1.17,0.1336,1.984,0.0121,1.775,0.0261,2.24,0.0087,2.237,0.0144
Q8WVM8,SCFD1,0.98,0.8897,1.192,0.4795,1.211,0.0047,0.811,0.062,0.685,0.0122,0.706,0.0027,0.828,0.0712
Q9BQ39,DDX50,0.726,0.0089,0.641,0.0091,0.729,0.0651,1.255,0.2635,1.169,0.3154,1.066,0.7479,1.157,0.4123
Q92522,H1FX,0.92,0.2976,1.326,0.0686,0.846,0.1164,2.142,0.0339,3.002,0.0021,3.442,0.0107,1.82,0.0046
Q9UHD8,40057,0.761,0.0084,0.736,0.0096,0.986,0.6944,0.499,0.0179,0.38,0.0108,0.448,0.0141,0.508,0.0114
Q96QC0,PPP1R10,1.015,0.8631,1.048,0.7548,1.201,0.0224,0.243,0.001,0.187,0.0011,0.205,0.0012,0.283,0.0011
Q9Y3B7,MRPL11,0.658,0.0303,0.733,0.0941,0.764,0.0301,0.8,0.1284,0.487,0.0155,0.695,0.0369,0.676,0.0098
Q59GE4,-,0.725,0.1299,0.796,0.1362,0.879,0.2306,1.357,0.0461,1.097,0.4768,1.281,0.1859,1.4,0.0409
P42766,RPL35,0.733,0.0347,0.654,0.0349,0.714,0.0193,1.762,0.0035,1.384,0.0254,1.425,0.0304,1.437,0.0035
O75448,MED24,0.89,0.2838,0.731,0.0689,0.86,0.2012,0.808,0.0867,0.642,0.0547,0.579,0.0054,0.874,0.0698
P07339,CTSD,1.201,0.1402,1.345,0.1126,1.35,0.0384,0.995,0.9727,1.951,0.0189,2.113,0.0119,1.867,0.0215
Q9H147,DNTTIP1,1.25,0.0059,1.144,0.0979,0.986,0.6857,0.313,0.0009,0.38,0.0011,0.368,0.0003,0.371,0.0004
Q96HY6,DDRGK1,0.912,0.4139,1.112,0.0205,0.844,0.0345,1.911,0.0005,1.057,0.6157,1.432,0.0011,1.604,0.02
Q14254,FLOT2,1.099,0.4149,1.091,0.7234,0.991,0.9436,1.497,0.1112,1.533,0.0448,1.587,0.0743,1.537,0.0662
O00566,MPHOSPH10,0.689,0.0041,0.697,0.084,0.635,0.0083,1.046,0.672,1.16,0.2738,0.877,0.204,1.011,0.9065
Q9BYG3,MKI67IP,0.663,0.0553,0.653,0.0154,0.728,0.0002,0.775,0.3535,0.785,0.2984,0.707,0.1763,0.916,0.7079
Q8TCJ2,STT3B,1.147,0.1153,1.43,0.0322,1.004,0.974,2.998,0.0065,2.627,0.0169,2.888,0.0083,2.767,0.0159
Q59HD4,-,0.902,0.4079,0.889,0.568,1.247,0.0374,0.354,0.0512,0.38,0.0747,0.393,0.059,0.353,0.0482
Q5SUJ3,RPS18,0.541,0.0105,0.548,0.0016,0.692,0.0201,1.726,0.1658,1.447,0.3784,1.612,0.1887,1.697,0.2243
A8MTC3,RAI1,0.718,0.4969,0.925,0.3871,1.206,0.7972,0.812,0.0266,0.983,0.8439,0.956,0.4556,1.178,0.681
Q5J7U2,CDK105,0.712,0.1853,0.793,0.179,0.772,0.1596,1.217,0.2411,0.975,0.9163,0.847,0.4949,1.336,0.0179
Q13242,SFRS9,0.986,0.9364,0.682,0.0603,1.024,0.7964,0.727,0.0184,0.659,0.022,0.69,0.0381,0.655,0.003
P01024,C3,1.411,0.0005,2.625,0.0018,1.486,0.0004,1.101,0.5021,1.377,0.1241,2.019,0.0051,1.482,0.104
Q12830,BPTF,0.685,0.0303,0.673,0.0212,0.671,0.0042,0.906,0.5312,0.939,0.6569,0.872,0.3287,0.893,0.3935
Q99848,EBNA1BP2,0.609,0.0512,0.619,0.1675,0.605,0.0461,1.134,0.5435,1.177,0.441,1.018,0.9297,1.19,0.1416
Q13344,-,0.809,0.1625,0.828,0.0086,1.202,0.0676,0.224,0.0303,0.192,0.0474,0.195,0.0281,0.26,0.0256
Q6IAP9,PRPF4,1.029,0.8687,0.981,0.9194,0.948,0.4318,0.513,0.0434,0.596,0.0384,0.501,0.0172,0.575,0.015
Q12888,TP53BP1,1.284,0.3886,1.192,0.2128,1.354,0.0341,0.555,0.0683,0.561,0.0704,0.584,0.1815,0.587,0.1105
Q5T0F3,GNL2,0.483,0.0301,0.412,0.0349,0.64,0.031,0.973,0.9115,0.854,0.5708,0.751,0.2028,1.138,0.5887
Q8TAS0,-,0.893,0.1221,0.741,0.083,0.926,0.4278,3.112,0.0017,1.321,0.0558,2.67,0.0165,2.719,0.0254
P83731,RPL24,0.766,0.0149,0.669,0.006,0.737,0.0011,1.867,0.0107,1.729,0.0199,1.72,0.0306,1.609,0.0257
Q5TDF0,C1orf57,0.777,0.1768,0.976,0.8715,0.695,0.01,2.001,0.0169,1.598,0.0274,1.594,0.0381,1.473,0.0453
Q9Y2W1,THRAP3,0.726,0.0407,0.563,0.0074,0.755,0.1056,0.938,0.7518,0.856,0.536,0.68,0.2035,0.901,0.5574
Q5U0C3,-,0.765,0.2142,0.862,0.3193,0.84,0.3886,1.526,0.0919,1.305,0.1729,2.053,0.0234,1.962,0.0536
Q9UFC0,LRWD1,0.847,0.2181,0.74,0.0032,0.887,0.3628,0.351,0.0211,0.315,0.0112,0.286,0.0144,0.32,0.0015
B3KQ21,-,0.735,0.1026,0.778,0.1923,0.701,0.042,1.366,0.0413,1.557,0.012,1.141,0.335,1.297,0.0696
Q6IB91,PCK2,0.976,0.6536,1.173,0.2309,0.888,0.1779,2.114,0.0502,1.205,0.3466,2.403,0.0247,1.874,0.0315
Q01780,EXOSC10,0.938,0.4927,0.701,0.0673,1.041,0.6031,0.501,0.048,0.557,0.245,0.43,0.1014,0.516,0.1049
Q7Z2K6,ERMP1,1.071,0.7859,1.306,0.1238,1.115,0.4606,2.136,0.0638,1.842,0.0754,2.404,0.0401,2.023,0.0616
P26038,MSN,1.565,0.0892,2.223,0.0407,1.648,0.1097,0.636,0.0656,0.702,0.2362,0.669,0.0602,0.714,0.0549
O60313,OPA1,1.084,0.5514,1.075,0.5672,0.944,0.6657,1.814,0.0289,1.575,0.0828,1.401,0.2832,1.541,0.0514
Q9H7B2,RPF2,0.645,0.0284,0.497,0.0142,0.662,0.0086,0.817,0.0939,0.881,0.1143,0.824,0.1231,0.861,0.5026
Q93009,USP7,1.013,0.7205,0.951,0.7674,1.627,0.0001,0.591,0.0379,0.713,0.1115,0.654,0.0107,0.733,0.1042
Q5RKT7,RPS27A,1.198,0.0326,1.116,0.1749,0.985,0.6373,0.717,0.1399,1.062,0.6631,0.846,0.2963,0.679,0.063
Q6FI03,G3BP,0.756,0.2181,0.848,0.4351,1.222,0.1966,0.298,0.0201,0.308,0.0358,0.29,0.0322,0.303,0.0212
Q15022,SUZ12,1.01,0.9052,1.077,0.6807,0.85,0.0188,0.942,0.6758,0.954,0.7674,0.847,0.3482,0.782,0.2644
Q8WVM7,STAG1,1.197,0.3979,0.97,0.8244,0.851,0.1113,0.755,0.1213,0.676,0.0504,0.602,0.0456,0.596,0.2073
Q6P1J9,CDC73,1.061,0.7229,1.186,0.3558,0.979,0.884,0.498,0.0121,0.537,0.0064,0.636,0.0016,0.498,0.0163
Q9Y4P3,TBL2,1.125,0.5337,1.265,0.0805,0.867,0.3502,2.129,0.0234,1.615,0.0389,1.85,0.0217,1.791,0.0332
P50991,CCT4,1.159,0.3581,1.435,0.1123,1.36,0.075,0.92,0.0476,1.191,0.1227,1.077,0.5926,1.13,0.2007
Q8IY17,PNPLA6,1.25,0.037,1.174,0.0364,0.956,0.6814,2.326,0.0402,2.255,0.0476,2.152,0.0509,2.137,0.0515
Q14676,MDC1,2.074,0.0014,1.508,0.0448,1.138,0.0394,0.815,0.0024,0.742,0.0009,0.545,0.0162,0.644,0.0039
Q59H77,-,1.232,0.0681,0.996,0.9552,1.154,0.046,1.459,0.0035,1.943,0.006,1.76,0.0094,1.885,0.0076
Q59GF8,-,1.054,0.4254,0.9,0.2253,1.293,0.0921,0.529,0.0093,0.709,0.0677,0.716,0.0706,0.632,0.0132
Q53FG5,-,0.879,0.4422,0.839,0.1845,1.028,0.5329,0.916,0.3615,1.003,0.9739,1.098,0.5653,0.844,0.0094
B4DS72,-,1.044,0.7,1.277,0.113,0.963,0.5765,1.551,0.0326,1.384,0.0686,1.656,0.0313,1.761,0.037
Q53H27,-,1.033,0.179,0.606,0.0044,1.269,0.0315,0.167,0.0132,0.229,0.0166,0.194,0.0132,0.183,0.0111
C9JQ13,RPL31,0.718,0.2644,0.525,0.0449,0.802,0.2173,1.656,0.2062,1.087,0.8418,1.251,0.5442,1.092,0.7792
P55209,NAP1L1,0.76,0.0889,0.903,0.3755,0.621,0.0283,0.846,0.1868,0.846,0.135,0.934,0.4601,0.669,0.0178
P33993,MCM7,0.87,0.1929,0.967,0.8132,0.911,0.1413,1.565,0.0954,1.824,0.0268,1.523,0.0961,1.371,0.086
Q2M1V9,BTAF1,1.032,0.8773,0.791,0.0225,0.866,0.1309,0.66,0.0211,0.646,0.0292,0.565,0.0228,0.596,0.0214
Q9BZF1,OSBPL8,1.164,0.0126,1.387,0.1042,1.029,0.4998,2.337,0.0013,2.217,0.0043,2.377,0.0005,2.396,0.0018
Q6NZI2,PTRF,1.309,0.358,2.278,0.0475,1.631,0.0269,0.908,0.6227,1.299,0.3233,2.297,0.0472,1.41,0.2656
A8K5G0,-,1.456,0.1424,0.813,0.254,1.456,0.0874,0.585,0.0103,0.708,0.0488,0.731,0.0005,0.619,0.0258
P24468,NR2F2,0.799,0.1689,0.71,0.1703,0.877,0.2567,0.806,0.1689,0.969,0.6494,0.792,0.1195,0.784,0.0125
Q15637,SF1,0.842,0.0148,0.717,0.0026,1.359,0.0534,0.179,0.0024,0.167,0.0043,0.167,0.0025,0.22,0.0024
Q09161,NCBP1,1.316,0.0545,0.851,0.2401,1.08,0.1547,0.295,0.0003,0.345,0.0004,0.314,0.0001,0.335,0.0012
O60244,MED14,1.045,0.2599,0.856,0.2226,1.051,0.5234,0.738,0.0067,0.716,0.0258,0.724,0.0285,0.787,0.003
P51571,SSR4,0.888,0.5516,1.033,0.855,0.815,0.1793,2.907,0.0493,2.275,0.1266,2.511,0.0557,2.366,0.0818
B2RCM2,-,1.295,0.2122,1.725,0.0295,1.303,0.0921,0.924,0.4917,1.032,0.8782,1.224,0.2802,0.877,0.5675
Q96CW1,AP2M1,0.936,0.4056,1.061,0.6496,1.168,0.0039,0.764,0.0047,0.681,0.0054,0.896,0.0238,0.842,0.101
P30050,RPL12,0.838,0.1609,0.732,0.0639,0.853,0.0491,0.722,0.2004,0.557,0.1265,0.605,0.1035,0.643,0.1023
Q2HJ14,OAS3,0.733,0.1548,0.814,0.0399,0.886,0.083,1.13,0.0395,0.906,0.2681,0.945,0.5302,1.317,0.0109
B7ZM82,WIZ,0.919,0.5458,0.83,0.3205,0.922,0.3245,0.891,0.1741,0.704,0.0152,0.79,0.0941,0.873,0.1839
P11182,DBT,0.822,0.0069,0.695,0.0115,0.719,0.0029,0.231,0.0001,0.243,0.0002,0.273,0,0.236,0.0014
Q69YN4,KIAA1429,1.028,0.7949,0.836,0.0157,1.157,0.0842,0.437,0.0069,0.477,0.0073,0.421,0.0049,0.458,0.0059
Q92614,MYO18A,1.12,0.1018,1.069,0.5733,0.997,0.9722,1.496,0.0227,1.471,0.0063,1.399,0.0061,1.567,0.0117
Q8N5C6,SRBD1,1.48,0.0334,1.121,0.3445,1.014,0.8148,0.81,0.3242,0.932,0.6467,0.889,0.6404,0.799,0.3131
B4DV56,SMARCD2,0.864,0.1765,0.733,0.0018,0.954,0.5052,0.422,0.0117,0.453,0.0129,0.429,0.0062,0,0
P48651,PTDSS1,1.157,0.0264,1.169,0.314,0.888,0.1832,3.723,0.0536,3.791,0.0542,3.407,0.0501,3.222,0.054
O43776,NARS,1.032,0.5522,0.92,0.3025,0.969,0.4258,0.183,0.0062,0.18,0.0108,0.159,0.0076,0.167,0.0056
B4DY34,-,0.698,0.1294,0.505,0.0054,0.841,0.1234,0.352,0.0743,0.351,0.1201,0.282,0.0761,0.328,0.0451
Q969G5,PRKCDBP,1.044,0.0324,1.459,0.0683,1.318,0.2184,0.463,0.0217,0.732,0.0933,1.397,0.0468,0.914,0.4796
P08574,CYC1,0.897,0.175,0.9,0.1578,0.972,0.711,1.858,0.0293,1.223,0.3217,1.542,0.0682,1.412,0.0573
Q16698,DECR1,1.242,0.2916,0.425,0.0326,0.373,0.0909,0.541,0.0016,0.293,0.0358,0.202,0.0274,0.217,0.0299
Q6IAX2,RPL21,0.97,0.806,0.834,0.2621,0.835,0.0313,0.99,0.9474,0.954,0.8227,0.932,0.7066,0.845,0.4632
P18031,PTPN1,0.74,0.1105,1.027,0.8924,1.459,0.0781,1.915,0.0191,1.379,0.1389,1.601,0.0408,1.994,0.0182
Q14160,SCRIB,0.903,0.1507,1.154,0.0276,1.023,0.5591,2.176,0.3479,1.625,0.5267,1.681,0.4658,1.717,0.4073
Q13310,PABPC4,0.548,0.0109,0.622,0.1748,1.108,0.4193,0.136,0.0229,0.198,0.0234,0.181,0.0186,0.169,0.0266
Q8WWY3,PRPF31,0.862,0.134,0.855,0.186,0.936,0.2198,0.538,0.0002,0.733,0.0027,0.622,0.0019,0.714,0.0075
Q9UGP8,SEC63,1.118,0.06,1.259,0.036,1.04,0.5282,1.854,0.206,1.521,0.2887,1.88,0.2255,1.755,0.2297
Q7Z3B4,NUP54,1.281,0.0835,1.346,0.1475,1.09,0.5095,3.012,0.0422,3.274,0.0402,2.325,0.0742,2.687,0.0425
Q9NPA0,C15orf24,1.025,0.6349,0.921,0.5685,0.852,0.1857,2.091,0.0481,1.588,0.0488,1.587,0.1209,1.772,0.0094
Q8N5K1,CISD2,1.036,0.8368,1.367,0.123,1.085,0.4218,2.469,0.0145,2.05,0.0541,2.424,0.0303,2.397,0.021
O00116,AGPS,0.987,0.8581,1.35,0.0635,1.187,0.0613,1.503,0.0418,1.328,0.1032,1.469,0.0277,1.449,0.018
Q9NZM1,MYOF,1.263,0.037,1.673,0.039,1.2,0.041,1.111,0.4634,1.267,0.2732,1.775,0.0632,1.553,0.053
Q9NVA2,40787,0.839,0.3972,0.977,0.7922,0.982,0.8157,0.538,0.0317,0.442,0.0311,0.425,0.036,0.451,0.1081
Q9UHB9,SRP68,1.025,0.7098,0.94,0.4429,0.855,0.11,1.541,0.0399,1.501,0.067,1.655,0.0599,1.349,0.0135
P24752,ACAT1,1.602,0.0173,0.892,0.3071,1.234,0.192,0.291,0.003,0.273,0.0127,0.491,0.0071,0.358,0.0071
Q96MX4,EWSR1,0.936,0.3558,0.77,0.6274,1.376,0.0419,0.181,0.2551,0.107,0.12,0.159,0.0266,0.232,0.1841
P80217,IFI35,1.039,0.6951,1.236,0.1939,1.223,0.0685,1.241,0.1037,1.045,0.5107,1.234,0.0236,1.394,0.1701
O75746,SLC25A12,1.953,0.0596,1.497,0.2979,1.388,0.0376,2.909,0.3092,1.945,0.2395,1.925,0.4006,1.88,0.2255
Q96CS3,FAF2,1.033,0.6599,1.162,0.2431,1.091,0.3125,2.503,0.028,1.577,0.0684,2.082,0.0437,2.276,0.0231
Q1JQ76,RPL10A,0.73,0.0063,0.528,0.0066,0.701,0.0069,1.505,0.0969,1.226,0.1191,1.523,0.0656,1.286,0.1662
P43246,MSH2,0.983,0.9142,0.735,0.1147,0.711,0.0725,0.871,0.083,0.808,0.135,0.696,0.0208,0.609,0.0003
O00232,PSMD12,1.243,0.1079,1.442,0.0167,1.35,0.0225,1.892,0.0002,2.674,0.0025,2.428,0.0008,2.127,0.0007
Q4GQP0,COII,1.16,0.6209,1.247,0.3246,1.07,0.5188,2.637,0.0155,1.657,0.0589,2.01,0.0371,1.525,0.3464
O75396,SEC22B,0.927,0.6931,1.336,0.2612,1.29,0.1096,2.745,0.0299,1.834,0.0999,2.558,0.0149,3.092,0.0381
Q5VT52,RPRD2,0.891,0.4332,0.728,0.2845,1.109,0.2723,0.432,0.0805,0.361,0.0589,0.371,0.0466,0.36,0.0143
Q68D00,DKFZp686B04100,1.249,0.2692,1.456,0.0626,1.43,0.0348,2.065,0.0076,3.16,0.001,2.961,0.0106,3.554,0.0083
Q86UE4,MTDH,1.162,0.3185,1.111,0.2252,0.864,0.4133,1.681,0.0397,1.406,0.0336,1.437,0.1458,1.439,0.0489
Q9ULX6,AKAP8L,1.336,0.0056,0.914,0.7658,0.942,0.5233,0.788,0.1927,0.803,0.3582,0.923,0.2789,0.674,0.1316
Q59F99,-,0.684,0.2426,0.643,0.2682,0.722,0.0798,0.626,0.0134,0.527,0.0785,0.482,0.0345,0.537,0.054
Q15050,RRS1,0.772,0.0831,0.843,0.0285,0.801,0.0211,0.974,0.8172,1.001,0.9965,0.872,0.1073,1.032,0.7992
B4DT67,-,1.219,0.366,1.306,0.0474,0.845,0.1898,1.089,0.6942,1.026,0.827,0.93,0.632,0.969,0.902
Q92466,DDB2,0.788,0.0124,1.003,0.9757,0.753,0.1102,0.388,0.0506,0.482,0.1109,0.425,0.0486,0.383,0.0312
P47985,UQCRFS1,0.972,0.8035,1.121,0.2788,1.109,0.309,2.623,0.0554,1.144,0.1462,2.043,0.1143,1.958,0.0199
Q5T0P8,RPS24,0.652,0.0471,0.653,0.0832,0.72,0.109,1.465,0.2443,1.256,0.4936,1.264,0.4726,1.212,0.5662
P30101,PDIA3,0.667,0.0578,0.984,0.8376,1.832,0.002,0.41,0.0647,0.456,0.0623,0.512,0.0883,0.617,0.025
Q6DKI1,RPL7L1,0.557,0.0687,0.443,0.0102,0.594,0.0203,0.89,0.3885,0.853,0.1501,0.744,0.1117,0.966,0.88
Q17S11,SMARCB1,0.972,0.8451,0.86,0.4574,0.921,0.4591,0.546,0.0766,0.565,0.0797,0.526,0.0392,0.525,0.0415
Q53EP0,FNDC3B,0.979,0.7159,1.11,0.4809,0.903,0.2595,1.465,0.0346,1.355,0.0382,1.53,0.0631,1.413,0.0913
Q9UGL1,KDM5B,1.115,0.6024,1.004,0.8344,0.876,0.3747,1.223,0.028,2.202,0.0882,2.087,0.1551,1.26,0.1288
Q9Y3U8,RPL36,0.576,0.0261,0.626,0.1688,0.641,0.0194,1.821,0.0292,1.573,0.0322,1.287,0.1915,1.543,0.0228
Q4LE58,EIF4G1,1.028,0.8747,1.14,0.305,1.307,0.0709,1.139,0.2314,1.063,0.6818,1.134,0.3336,1.342,0.0033
Q9NVR2,INTS10,0.952,0.5001,0.872,0.3486,1.04,0.6248,0.696,0.0064,0.808,0.1923,0.799,0.1293,0.796,0.0564
O43660,PLRG1,0.833,0.111,0.678,0.0157,0.901,0.0802,0.445,0.0109,0.436,0.0159,0.412,0.0243,0.492,0.004
Q5HYE4,DKFZp686F1612,0.931,0.7885,1.051,0.6846,0.993,0.9708,0.28,0.0304,0.331,0.0201,0.292,0.0239,0.309,0.0546
B1Q2X3,N-TAF1,1.015,0.7017,0.798,0.1618,0.829,0.0115,0.571,0.0027,0.693,0.0084,0.626,0.0012,0.592,0.0043
O15020,SPTBN2,0.834,0.0018,0.695,0.1564,1.059,0.5276,0.432,0.0544,0.461,0.0932,0.426,0.0915,0.465,0.0551
Q07020,RPL18,0.777,0.0098,0.773,0.0678,0.828,0.0575,1.718,0.0155,1.672,0.0649,1.648,0.0212,1.464,0.019
Q15046,KARS,1.371,0.0844,1.535,0.0077,1.361,0.0155,0.46,0.0085,0.498,0.0123,0.571,0.016,0.451,0.0083
P35527,KRT9,1.384,0.0915,1.115,0.2418,1.485,0.0511,0.606,0.0747,0.513,0.0021,0.528,0.0291,0.474,0.0129
P08579,SNRPB2,0.968,0.5651,0.84,0.1624,0.944,0.5715,0.431,0.021,0.498,0.0216,0.458,0.0159,0.467,0.0105
Q8WVX7,-,0.766,0.1966,0.812,0.197,1.001,0.9958,0.897,0.3415,0.706,0.0246,0.776,0.0617,0.878,0.1709
Q96RL7,VPS13A,0.753,0.0629,0.81,0.0088,0.763,0.0827,0.565,0.0047,0.492,0.0007,0.531,0.0009,0.495,0.0003
Q92610,ZNF592,0.978,0.863,0.769,0.1682,0.86,0.0205,0.923,0.8298,1.034,0.9159,1.176,0.6494,0.874,0.5516
P51858,HDGF,1.417,0.0149,1.573,0.0499,1.474,0.0132,0.339,0.0273,0.372,0.0301,0.442,0.0174,0.33,0.0197
P62316,SNRPD2,0.811,0.0791,0.645,0.118,0.907,0.2935,0.456,0.0292,0.454,0.0218,0.444,0.019,0.5,0.027
