Accession,Name,X115.114,PVal.115.114,X116.114,PVal.116.114,X117.114,PVal.117.114
Q5QJE6,TDIF2,1.341,3.01E-05,1.234,0.000463,1.043,0.551
Q6ZRP7,QSOX2,1.461,0.0632,1.277,0.0578,1.22,0.00815
O14896,IRF6,0.804,0.000205,0.993,0.858,0.943,0.382
Q13835,PKP1,1.228,0.000989,1.086,0.0982,1.064,0.258
Q9NYY8,FAKD2,0.804,0.0889,0.732,0.00841,0.873,0.171
Q5M775,CYTSB,1.059,0.247,1.047,0.329,1.21,0.0337
Q5SUJ3,Q5SUJ3,0.878,0.0492,0.837,0.00119,0.77,0.000198
Q68DF1,Q68DF1,0.778,0.151,0.754,0.0104,0.964,0.587
Q7Z3D1,Q7Z3D1,0.795,1E-05,0.834,1.13E-08,0.967,0.696
Q99447,PCY2,0.806,0.0305,0.853,0.108,0.895,0.404
Q5W0H4,Q5W0H4,0.52,0.00701,0.536,0.00175,0.918,0.749
Q96JQ2,CLMN,1.355,0.0154,1.165,0.0258,1.157,0.232
Q05BV5,Q05BV5,0.707,0.00141,0.816,0.0159,0.814,0.0672
Q9GZZ9,UBA5,0.722,0.0934,0.789,0.0153,0.79,0.00273
Q9UIF9,BAZ2A,1.439,0.0487,1.25,0.222,1.179,0.197
Q86UA3,Q86UA3,0.802,0.0236,0.804,0.0306,0.94,0.177
Q9Y2L1,RRP44,0.888,0.171,0.958,0.576,1.202,0.00455
Q6IBK5,Q6IBK5,0.793,0.0443,0.79,0.107,1.014,0.733
Q969X6,CIR1A,1.246,0.000139,1.211,0.000103,1.178,0.0307
P84103,SFRS3,1.875,0.00161,0.983,0.835,0.723,0.00529
Q53GS7,GLE1,0.974,0.605,0.974,0.677,0.817,0.0313
P61758,PFD3,0.723,0.0277,0.761,0.011,0.722,0.00368
O75937,DNJC8,0.848,0.297,0.8,0.0264,0.973,0.771
Q9BSJ2,GCP2,0.855,0.0603,0.852,0.0175,0.83,0.000405
B4DG05,B4DG05,0.844,0.0673,0.799,0.00254,0.839,0.00219
P62304,RUXE,1.082,0.279,1.085,0.267,1.308,0.000125
Q9BR76,COR1B,0.766,0.0286,0.801,0.00421,0.843,0.00934
Q04323,UBXN1,0.694,0.0208,0.677,0.0263,0.775,0.0129
P78417,GSTO1,0.607,0.000489,0.762,0.00232,0.838,0.107
C9IZE4,C9IZE4,0.814,0.0118,0.834,0.0181,0.885,0.0951
Q53R49,Q53R49,1.396,0.000679,1.584,0.000345,1.226,0.00133
Q08AM6,VAC14,0.728,0.0111,0.813,0.0423,0.93,0.616
P05114,HMGN1,0.789,0.139,0.941,0.49,0.649,0.00798
Q9UK22,FBX2,0.685,0.00731,0.792,0.0129,0.756,0.00149
Q53EL1,Q53EL1,0.802,0.0129,0.975,0.53,0.867,0.0276
Q16851,UGPA,0.773,0.00888,0.916,0.34,0.864,0.00632
P62910,RL32,0.78,0.00802,0.816,0.00621,0.95,0.467
Q6LEU2,Q6LEU2,1.373,0.0126,0.986,0.878,0.936,0.501
P62851,RS25,0.666,0.000148,0.76,2.34E-05,0.805,0.000584
B3KWD7,B3KWD7,0.864,0.334,0.978,0.831,0.802,0.00618
Q6ZRJ8,Q6ZRJ8,0.787,0.0465,0.806,0.0641,0.842,0.0617
O43488,ARK72,0.687,0.00276,0.808,0.0202,0.693,0.00199
Q5JQ44,Q5JQ44,1.363,0.132,1.436,0.0214,1.121,0.116
O00487,PSDE,0.926,0.22,0.768,0.000355,0.875,0.0207
Q9NV31,IMP3,1.383,0.00016,1.216,0.000856,0.976,0.617
Q0QEW2,Q0QEW2,0.789,0.000635,0.848,0.00321,0.984,0.811
Q96DV6,Q96DV6,0.809,1.86E-05,0.903,0.000139,1.091,0.00372
Q96TA2,YMEL1,0.779,0.0107,0.769,0.000277,0.933,0.509
Q9NP72,RAB18,0.711,0.00187,0.893,0.161,1.005,0.933
Q9BRX8,CJ058,1.42,0.000447,1.157,0.0435,1.054,0.606
P62841,RS15,0.781,7.56E-08,0.802,2.06E-07,0.882,0.000513
B4DLZ5,B4DLZ5,0.657,0.0178,0.752,0.0234,0.719,0.000316
Q5NKV8,Q5NKV8,1.452,0.00432,1.597,0.000238,1.444,0.000396
Q53G81,Q53G81,0.611,2.5E-05,0.652,2.15E-05,0.657,1.98E-05
P49773,HINT1,0.902,0.418,0.86,0.0201,0.825,0.00695
P49023,PAXI,0.678,0.0214,0.742,0.00179,0.8,0.00716
P17612,KAPCA,0.555,0.0249,0.828,0.0955,0.935,0.62
C9JWM7,C9JWM7,0.785,0.000504,1.021,0.603,1.185,0.0107
O43684,BUB3,0.785,0.0279,0.873,0.094,1.081,0.246
Q08345,DDR1,1.219,0.0365,1.268,4.76E-05,1.116,0.0563
Q6IAT9,Q6IAT9,0.66,0.000582,0.824,0.00582,0.939,0.351
P82909,RT36,0.765,0.0135,0.944,0.354,1.032,0.682
Q969G3,SMCE1,1.09,0.15,0.929,0.257,0.794,0.036
P33316,DUT,0.712,0.00212,0.702,0.000385,0.719,4.73E-05
Q9H6F5,CCD86,1.059,0.601,0.887,0.1,1.371,0.00757
Q86WB0,NIPA,1.328,0.0106,1.093,0.634,0.951,0.674
Q6NZ52,Q6NZ52,0.784,0.00189,0.917,0.0933,0.793,0.0422
Q8NFW8,NEUA,1.235,0.00032,1.001,0.986,1.123,0.0651
Q15631,TSN,0.794,0.345,0.792,0.119,0.747,0.0241
Q15404,RSU1,0.872,0.0988,0.853,0.00505,0.78,0.00193
P30085,KCY,0.682,0.00124,0.764,0.00136,0.715,0.0392
O00764,PDXK,0.711,0.00427,0.824,0.00353,0.974,0.803
Q9Y3A4,RRP7A,1.338,0.00356,1.103,0.192,1.203,0.016
Q53FU3,Q53FU3,0.719,0.000847,0.75,0.00416,0.872,0.163
Q16186,ADRM1,0.692,0.0191,0.74,0.0582,0.897,0.372
B4DU58,B4DU58,0.723,0.000135,0.84,0.0158,0.851,0.00601
P78318,IGBP1,0.645,0.0425,0.74,0.0135,0.895,0.49
Q9UMX5,NENF,0.803,0.00337,0.666,0.000604,0.969,0.571
Q6IAV3,Q6IAV3,0.793,0.00173,0.855,0.00119,0.909,0.011
Q9Y221,NIP7,1.509,0.0102,1.157,0.00357,1.078,0.355
Q9BZK7,TBL1R,1.117,0.0283,0.898,0.32,1.307,0.00413
Q6FHG5,Q6FHG5,0.752,0.0566,0.786,0.00713,0.79,0.026
Q99757,THIOM,0.759,0.0495,0.768,0.00228,0.857,0.0187
O75822,EIF3J,0.818,0.0278,0.888,0.0725,0.842,0.131
Q86W42,THOC6,1.281,0.00174,1.098,0.0987,1.186,0.000828
Q7Z2E3,APTX,1.298,0.008,1.175,0.00967,1.175,0.0916
Q6IB54,Q6IB54,1.06,0.476,0.901,0.0417,0.783,0.0115
P80723,BASP1,1.655,8.27E-06,1.468,4.12E-05,1.348,0.000938
O76003,GLRX3,0.678,0.0291,0.806,0.128,0.808,0.147
Q9UI30,TR112,0.866,0.016,0.822,0.00359,0.991,0.89
Q5TBU5,Q5TBU5,0.653,0.000386,0.646,0.000124,0.708,0.000717
Q969H8,CS010,0.848,0.0244,0.732,0.0236,1.172,0.0293
P31946,1433B,0.699,3.78E-05,0.813,0.000106,0.797,0.000308
Q9NVM9,M89BB,1.237,0.0174,1.19,0.0012,1.109,0.17
Q9Y3Z3,SAMH1,0.748,0.031,0.775,0.0109,0.805,0.0166
Q5QTS3,Q5QTS3,0.814,0.00833,0.928,0.261,0.887,0.0153
Q9NQZ2,SAS10,1.296,0.00709,1.208,0.0131,1.362,0.0146
Q53S54,Q53S54,0.727,0.000227,0.778,0.000499,0.989,0.792
P15374,UCHL3,0.708,0.00012,0.835,0.0146,0.814,0.00581
O43660,PLRG1,1.084,0.433,1.184,0.0381,1.325,0.00304
O75915,PRAF3,1.255,0.00118,1.123,0.0147,1.1,0.0872
Q9UKK9,NUDT5,0.604,0.000954,0.71,0.00447,0.728,0.0854
O14737,PDCD5,0.664,0.000671,0.707,0.00686,0.8,0.0948
C9J8U2,C9J8U2,0.729,0.0218,0.791,0.0105,0.785,0.0487
C9JZB7,C9JZB7,1.199,0.0371,1.145,0.0319,1.207,0.000121
Q9NZL9,MAT2B,0.682,0.0447,0.703,0.0729,0.649,0.00209
Q9NZ01,TECR,1.05,0.534,1.304,0.000166,1.151,0.0376
Q15800,ERG25,1.974,2.2E-05,1.972,2.02E-05,0.944,0.481
Q7Z4V5,HDGR2,0.774,0.0269,0.902,0.0689,1.054,0.479
Q9UFN0,NPS3A,0.719,0.0101,1.103,0.00771,1.395,6.59E-05
O14929,HAT1,0.71,0.0144,0.731,2.84E-05,0.922,0.0404
O60502,NCOAT,0.761,1.11E-05,0.851,0.11,0.923,0.293
B4DSZ4,B4DSZ4,0.937,0.252,0.861,0.00197,0.734,7.01E-05
Q9BX83,Q9BX83,1.033,0.521,1.394,0.024,1.317,0.0547
B1AKJ6,B1AKJ6,0.813,0.0367,0.881,0.114,0.799,0.0138
O00461,GOLI4,0.773,0.0474,0.678,0.0532,0.834,0.201
Q9Y2R9,RT07,0.76,0.0235,0.8,0.0214,0.817,0.0557
Q3LXA3,DHAK,0.685,0.00425,0.788,0.0117,1.033,0.893
Q99538,LGMN,1.675,4.82E-05,1.12,0.0114,1.281,0.00198
Q9H5Q4,TFB2M,0.838,0.094,0.728,0.00305,1.064,0.457
P12532,KCRU,1.232,0.000116,1,0.993,1.117,0.032
P25788,PSA3,0.784,0.0223,0.844,0.135,0.705,0.0186
B7Z5W1,B7Z5W1,1.262,0.00881,1.192,0.00142,0.959,0.267
O00442,RTC1,0.755,0.017,0.874,0.0744,1.009,0.623
Q9Y3L3,3BP1,0.706,0.00593,0.786,0.00848,0.82,0.00787
Q53HQ8,Q53HQ8,1.703,0.000964,1.474,0.000481,1.338,0.0321
P63151,2ABA,0.733,0.0104,0.88,0.0473,0.9,0.133
O00625,PIR,0.418,0.0303,0.556,0.0454,0.492,0.0339
Q86U28,ISCA2,1.142,0.0366,1.23,0.00232,0.943,0.248
Q15257,PTPA,0.516,0.00597,0.723,0.0243,0.532,0.00169
Q9H147,TDIF1,1.552,0.000282,1.221,0.0745,1.03,0.591
Q9NP66,HM20A,1.343,0.0049,1.217,0.0186,1.107,0.29
Q9UBI6,GBG12,1.327,0.0153,1.255,0.000561,1.075,0.214
P62249,RS16,0.801,0.0003,0.836,0.000377,0.993,0.907
P45973,CBX5,1.555,0.00766,1.268,0.0935,1.018,0.848
P62888,RL30,0.828,0.000752,0.938,0.17,0.971,0.673
O75027,ABCB7,0.96,0.442,1.015,0.755,1.298,0.0136
Q5T2B7,Q5T2B7,0.756,0.125,0.808,0.0133,0.98,0.757
Q59EL2,Q59EL2,0.94,0.301,0.805,0.00513,0.83,0.0253
Q8N9T8,KRI1,1.227,0.0344,1.115,0.0208,1.077,0.301
O75695,XRP2,1.228,0.0373,1.222,0.0444,1.122,0.197
O60701,UGDH,0.836,0.00399,0.817,0.00521,0.76,0.00105
O43396,TXNL1,0.854,0.0341,0.825,0.018,0.859,0.0122
Q9H6T3,RPAP3,0.723,0.0175,0.721,0.0256,0.8,0.222
Q9NZW5,MPP6,1.218,0.011,1.092,0.0915,1.014,0.879
O94760,DDAH1,0.724,0.046,0.809,0.0223,0.798,0.0667
P53794,SC5A3,1.816,0.0297,1.862,0.00872,1.31,0.00974
O95159,ZFPL1,0.804,0.0122,1.003,0.891,0.832,0.272
Q15942,ZYX,0.725,0.0423,0.802,0.0982,0.912,0.0902
P50225,ST1A1,0.752,0.116,0.816,0.0114,0.734,0.000638
Q14914,PTGR1,0.73,0.0355,0.788,0.0377,0.879,0.0147
Q9NRW7,VPS45,0.742,0.00066,0.896,0.158,0.891,0.0625
Q15334,L2GL1,0.815,0.188,0.833,0.208,0.778,0.00174
Q9Y263,PLAP,1.156,0.58,0.961,0.793,0.824,0.0108
P61086,UBE2K,0.66,0.00319,0.73,0.00142,0.867,0.189
Q92522,H1X,1.226,0.000301,1.152,0.00764,0.857,0.000751
P84090,ERH,1.295,0.00104,1.077,0.199,1.086,0.263
B7Z3P1,B7Z3P1,0.821,0.0767,0.857,0.256,0.728,0.00367
Q5TFE4,NT5D1,0.735,0.0162,0.794,0.0186,0.666,0.215
Q9NRV9,HEBP1,0.666,0.0301,0.734,0.0626,0.841,0.0193
P07108,ACBP,0.613,5.77E-09,0.728,2.47E-10,0.638,3.04E-13
P62244,RS15A,0.659,0.00129,0.79,0.0135,0.871,0.128
B0QYD3,B0QYD3,1.203,0.213,1.575,0.00263,1.14,0.274
Q8TCJ2,STT3B,1.133,0.162,1.215,0.00699,1.097,0.0678
Q9Y4W2,LAS1L,1.337,0.0023,1.19,0.00618,1.104,0.271
Q9HC35,EMAL4,0.795,0.0441,0.907,0.0534,0.926,0.156
P84077,ARF1,0.725,1.12E-05,0.767,1.27E-05,0.879,0.00624
Q70UQ0,IKIP,1.249,0.000505,1.29,0.00112,1.266,0.00533
Q5VV89,Q5VV89,0.935,0.532,1.385,0.00177,1.145,0.318
P32929,CGL,0.592,0.0408,0.716,0.171,0.87,0.341
Q6I9U3,Q6I9U3,1.091,0.375,1.444,0.0304,1.03,0.772
Q9H501,ESF1,1.141,0.0666,1.053,0.402,1.309,0.0133
Q6P996,PDXD1,0.742,0.0409,0.814,0.0537,0.795,0.0106
P09884,DPOLA,0.817,0.0322,0.849,0.1,1.054,0.686
Q53H01,Q53H01,1.048,0.582,1.075,0.33,1.519,0.0116
Q9UGV2,NDRG3,0.856,0.139,0.803,0.0435,0.799,0.0763
Q86VI3,IQGA3,0.915,0.332,0.949,0.53,0.826,0.0467
O14561,ACPM,1.336,0.0213,1.041,0.394,1.06,0.529
P00390,GSHR,0.541,0.0267,0.527,0.0178,0.624,0.00896
A3KMH1,K0564,0.826,0.00992,0.865,0.0569,1.104,0.357
P35610,SOAT1,1.352,3.93E-05,1.243,0.00165,1.016,0.817
Q96SY0,CO044,1.068,0.511,1.126,0.0885,1.289,0.0295
Q14696,MESD,1.058,0.57,0.805,0.0108,1.004,0.957
Q6FGN3,Q6FGN3,1.495,0.00597,2.316,0.000711,1.668,0.00137
B5BTZ8,B5BTZ8,1.363,0.00223,1.237,0.0009859999999999999,1.054,0.515
Q7Z4W8,Q7Z4W8,0.762,0.00452,0.808,0.00383,1.058,0.574
Q15031,SYLM,1.007,0.958,1.047,0.524,1.373,0.000464
P57764,GSDMD,0.725,0.0919,0.809,0.079,0.782,0.00347
Q6IAM7,Q6IAM7,1.049,0.235,1.207,0.000575,1.001,0.972
B3KRK5,B3KRK5,1.262,0.00158,1.041,0.547,1.065,0.328
Q9NQ55,SSF1,1.264,0.00113,1.125,0.0897,1.102,0.0581
Q8WVV4,POF1B,1.226,0.0817,1.366,0.00337,1.16,0.0709
Q9UMS0,NFU1,0.821,0.000242,0.838,0.0103,0.835,0.00383
P62318,SMD3,1.331,6.4E-06,1.233,3.4E-05,1.235,0.00148
Q8N0U8,VKORL,1.079,0.567,1.372,0.00199,1.495,0.00554
Q9BT78,CSN4,0.755,0.00531,0.757,0.0038,0.766,0.00135
P10155,RO60,0.763,0.00119,0.864,0.00194,0.925,0.0669
P35080,PROF2,0.588,4.74E-06,0.701,7.54E-06,0.729,0.00159
Q5TCU3,Q5TCU3,0.723,0.0086,0.819,0.00296,0.942,0.552
Q12792,TWF1,0.867,0.0865,0.889,0.0706,0.822,0.00675
Q6ZUY8,Q6ZUY8,2.197,0.0284,1.494,0.122,1.015,0.885
Q15287,RNPS1,1.219,0.00117,1.103,0.0178,1.022,0.629
P49354,FNTA,0.806,0.0335,0.932,0.298,0.933,0.521
Q6IRT1,Q6IRT1,0.797,0.0769,0.823,0.0141,0.757,0.000916
P15121,ALDR,0.613,0.00109,0.764,0.00114,0.84,0.0607
Q9BZH6,BRWD2,0.758,0.0301,0.876,0.00487,0.907,0.0128
Q76LA1,Q76LA1,0.693,2.38E-05,0.873,0.0132,0.771,0.00266
C9JI13,C9JI13,1.264,0.00475,1.048,0.335,1.056,0.155
B3KNH3,B3KNH3,1.55,0.00318,1.242,0.0229,1.021,0.805
Q9NX46,ARHL2,0.83,0.0415,0.943,0.593,0.884,0.086
Q6JQN1,ACD10,1.44,0.028,1.338,0.00685,1.089,0.245
Q9H444,CHM4B,0.791,0.0024,0.951,0.191,0.965,0.217
O95218,ZRAB2,0.942,0.664,0.974,0.586,1.229,0.034
P61353,RL27,0.788,0.000468,0.822,0.00204,0.823,0.00227
Q14C86,GAPD1,0.724,0.0549,0.784,0.0471,0.818,0.112
Q3HY28,Q3HY28,1.257,0.0475,1.651,0.00696,1.325,0.0553
Q9HB71,CYBP,0.701,0.00209,0.788,0.00316,0.738,0.0136
B4DUX5,B4DUX5,0.751,0.106,0.654,0.0328,0.769,0.0704
Q6IBR6,Q6IBR6,0.733,0.0151,0.876,0.0651,0.823,0.0924
Q8IV08,PLD3,1.357,0.00908,1.381,7.7E-05,1.154,0.0844
Q96A26,F162A,1.42,0.00334,1.262,4.34E-05,1.027,0.753
O95816,BAG2,0.948,0.45,0.994,0.881,0.8,0.00656
P23193,TCEA1,0.737,0.000934,0.703,0.00259,0.836,0.0469
Q7L5D6,CG020,0.672,0.0393,0.801,0.0399,0.852,0.0673
Q9H993,CF211,0.519,0.0187,0.749,0.136,1.013,0.941
P18827,SDC1,0.876,0.0566,0.952,0.662,0.796,0.042
P14854,CX6B1,1.363,0.00607,1.235,0.0408,1.078,0.546
Q5J7U2,Q5J7U2,1.185,0.104,0.986,0.863,1.309,0.00511
Q9BPX4,Q9BPX4,0.69,0.0106,0.792,0.0666,0.865,0.0434
Q6P1A2,MBOA5,0.676,0.0453,1.116,0.797,1.068,0.857
O75506,HSBP1,0.739,0.0258,0.861,0.057,1.546,0.0668
Q9NP92,RT30,0.823,0.0205,0.903,0.145,1.041,0.685
Q9NWS0,PIHD1,0.842,0.348,0.785,0.00723,0.841,0.0276
Q969X1,TMBI1,1.481,0.0102,2.022,0.0084,1.728,0.0134
P61088,UBE2N,0.657,0.00124,0.656,0.000414,0.774,0.00282
O43670,ZN207,1.019,0.78,0.816,0.00589,1.001,0.98
P60033,CD81,1.109,0.247,1.326,0.0272,1.499,0.0137
O95674,CDS2,1.281,0.0246,1.386,7.35E-06,1.094,0.359
Q5JVH5,Q5JVH5,0.782,0.0067,0.856,0.0436,0.867,0.0397
Q96QD8,S38A2,0.843,0.0603,1.196,0.0416,1.496,0.0176
Q16790,CAH9,2.265,0.0296,3.162,0.0116,2.369,0.0226
P55145,MANF,0.891,0.0657,0.867,0.255,1.318,0.0109
Q8TBX8,PI42C,0.773,0.0464,0.819,0.0783,0.944,0.516
Q06136,KDSR,1.017,0.787,1.311,0.0191,1.124,0.288
Q96FX7,TRM61,1.101,0.812,1.158,0.295,1.364,0.0442
Q5T8I0,Q5T8I0,1.162,0.0684,1.164,0.0287,1.253,0.0117
Q15369,ELOC,0.776,0.0883,0.789,0.000286,0.919,0.16
Q9ULC4,MCTS1,0.736,0.0113,0.788,0.00497,0.802,0.00641
Q86XL3,ANKL2,1.318,0.00762,1.193,0.111,1.191,0.117
Q5TGY3,AHDC1,1.705,0.0727,1.405,0.0358,1.142,0.276
O95833,CLIC3,1.392,0.0158,1.189,0.0849,1.011,0.869
P52788,SPSY,0.716,0.0104,0.902,0.0899,1.018,0.515
C9JE22,C9JE22,1.525,0.0267,1.22,0.151,0.968,0.77
Q53F03,Q53F03,0.727,0.0116,0.791,0.000676,0.864,0.00286
Q59ET0,Q59ET0,1.195,0.0619,1.303,0.000133,1.218,0.0934
P63098,CANB1,1.695,0.0435,1.021,0.8,0.768,0.046
Q9BYD1,RM13,0.783,0.0162,0.789,0.00719,0.835,0.00133
Q99622,C10,0.748,0.103,0.804,0.038,0.793,0.206
P53004,BIEA,0.825,0.0916,0.831,0.0256,0.825,0.00336
Q4VB24,Q4VB24,0.912,0.365,0.731,0.041,0.885,0.116
Q9NWY4,CD027,0.755,0.00041,0.782,0.000982,0.915,0.2
Q14019,COTL1,0.879,0.0852,1.076,0.378,0.824,0.0352
Q8TC07,TBC15,0.755,0.0426,0.935,0.381,0.925,0.364
P23497,SP100,1.503,2.78E-06,1.407,0.00245,1.606,0.000267
Q9H3K6,BOLA2,0.963,0.465,0.917,0.29,0.779,0.0293
Q96EK6,GNA1,0.778,0.00574,0.891,0.000544,0.894,0.212
Q96MU7,YTDC1,1.151,0.0298,1.202,0.00648,1.211,0.00642
Q9P2D3,HTR5B,0.745,0.0653,0.773,0.108,0.776,0.0422
P51617,IRAK1,0.642,0.0106,0.777,0.0565,0.703,0.346
O60493,SNX3,0.789,0.00891,0.905,0.219,0.946,0.595
P22676,CALB2,0.721,0.0395,0.771,0.0571,0.757,0.0578
B4DDV0,B4DDV0,0.587,0.124,0.638,0.0159,0.72,0.012
B1AK40,B1AK40,1.024,0.752,1.351,0.00161,1.292,0.0429
P05161,UCRP,0.504,6.71E-06,0.734,0.000339,0.725,0.000709
P61970,NTF2,0.809,0.000729,0.943,0.388,0.906,0.271
P18615,NELFE,1.035,0.635,0.938,0.561,1.315,0.0149
Q8N271,PROM2,0.792,0.0195,0.835,0.0472,0.841,0.0284
Q59GR1,Q59GR1,1.184,0.0839,1.275,0.00191,1.124,0.00489
Q15370,ELOB,0.75,0.0237,0.76,0.113,0.835,0.152
Q9H974,QTRD1,0.857,0.245,0.857,0.102,0.774,0.00939
Q2TNI1,Q2TNI1,1.638,1.03E-10,1.552,2.1E-10,1.413,3.26E-08
Q5JNW4,Q5JNW4,0.6,0.0142,0.731,0.0199,0.855,0.123
Q59G27,Q59G27,0.403,0.00011,0.444,0.000257,0.43,0.000226
Q9GZT3,SLIRP,0.887,0.429,0.749,0.00439,0.924,0.489
Q53G02,Q53G02,1.003,0.96,1.243,0.0125,0.959,0.0749
Q16540,RM23,0.813,0.000195,0.847,0.00518,0.971,0.724
Q6FGV9,Q6FGV9,0.796,0.0302,0.922,0.0971,0.897,0.0119
O43237,DC1L2,0.647,0.022,0.779,0.02,0.799,0.224
Q96NY6,Q96NY6,1.394,0.0379,1.116,0.315,1.225,0.0848
Q969S3,ZN622,0.88,0.0665,0.92,0.0253,0.817,0.00974
Q6YP21,KAT3,0.707,0.00754,0.749,6.45E-05,0.768,0.00337
Q8TBP6,S2540,0.681,0.0291,0.837,0.134,0.991,0.931
Q6DRA6,H2B2D,1.452,0.0418,1.06,0.686,0.764,0.142
B2R6Z2,B2R6Z2,1.1,0.44,1.437,0.000861,1.065,0.489
O00170,AIP,0.631,0.0307,0.653,0.0281,0.634,0.0232
Q9Y2G8,DJC16,1.413,0.277,1.452,0.0076,1.201,0.0257
Q99442,SEC62,1.241,0.0298,1.252,0.0685,1.375,0.241
O95456,PSMG1,0.717,0.00588,0.863,0.173,0.947,0.541
Q9BTM1,H2AJ,1.34,8.6E-07,1.176,0.000899,0.942,0.184
Q07812,BAX,0.74,0.00868,0.784,0.0255,0.68,0.000223
Q99747,SNAG,0.763,0.0245,0.767,0.117,0.828,0.143
Q9NY12,GAR1,1.453,0.00109,1.317,0.00444,1.158,0.00347
Q9UKR5,ERG28,1.289,0.000925,1.29,0.113,0.716,0.000343
Q71RC2,LARP4,0.702,0.0897,0.71,0.0467,0.899,0.34
Q9BQ61,CS043,1.376,0.0463,1.276,0.0976,1.185,0.134
P41240,CSK,0.76,0.0124,0.948,0.646,0.871,0.31
B4DKA3,B4DKA3,0.738,0.019,0.797,0.0447,0.831,0.0584
Q9UGL1,KDM5B,2.337,0.0555,1.854,0.0273,1.147,0.461
P07199,CENPB,1.294,0.0115,1.218,0.000731,0.983,0.68
Q5T1M5,FKB15,0.758,0.0243,0.915,0.0883,0.803,0.0324
P61966,AP1S1,0.646,0.00184,0.686,0.000282,0.762,0.00484
Q9BXP2,S12A9,0.84,0.137,0.953,0.347,0.784,0.0467
Q8NCN5,PDPR,0.792,0.0233,0.914,0.194,0.974,0.63
Q6Q3G8,Q6Q3G8,1.377,2.25E-05,1.189,0.0159,0.983,0.697
P53985,MOT1,1.141,0.00545,1.138,0.0175,1.248,0.000152
Q9UDW1,QCR9,0.817,0.0328,0.965,0.196,1.004,0.935
Q9BXR0,TGT,0.817,0.121,0.754,0.154,0.754,0.00504
Q9BV57,MTND,0.745,0.0168,0.919,0.456,0.713,0.468
Q5VVD0,Q5VVD0,0.776,0.00087,0.802,0.00703,0.934,0.499
P54105,ICLN,0.484,0.00716,0.774,0.145,1.114,0.447
C9JCC6,C9JCC6,0.67,0.00055,0.796,0.00111,0.879,0.0383
Q9UL46,PSME2,0.575,0.000801,0.666,9.35E-06,0.703,0.000315
Q68DY8,Q68DY8,1.233,0.0933,1.397,0.00191,1.066,0.392
O75054,IGSF3,0.743,0.0434,0.943,0.606,1.125,0.525
O94903,PROSC,0.602,0.0245,0.764,0.0166,0.813,0.137
O95563,BR44,0.848,0.00712,0.868,0.0656,0.712,0.0102
Q96B14,Q96B14,1.156,0.0903,1.268,0.0325,1.344,0.000405
Q15843,NEDD8,0.816,0.095,0.953,0.59,0.776,0.0285
Q6VU67,Q6VU67,1.196,0.405,1.44,0.0679,1.441,0.0263
Q13427,PPIG,1.454,0.0304,1.158,0.139,1.198,0.109
B7Z3Q9,B7Z3Q9,0.481,0.000531,0.578,0.00303,0.724,0.00843
P04066,FUCO,1.138,0.191,1.107,0.116,1.289,0.00745
O60885,BRD4,1.127,0.253,1.128,0.327,1.321,0.028
Q8NBJ4,GOLM1,0.996,0.98,0.904,0.548,1.297,0.0348
P13798,ACPH,0.66,0.00444,0.711,0.0171,0.785,0.00328
Q9NT62,ATG3,0.654,0.036,0.836,0.0437,0.944,0.428
Q9H330,CI005,1.176,0.692,1.38,0.425,1.279,0.0174
Q86SX6,GLRX5,1.431,0.00314,1.212,0.0119,1.145,0.101
Q9BWJ5,SF3B5,1.388,0.114,1.229,0.0215,1.042,0.826
C9JAB2,C9JAB2,1.488,0.0323,1.132,0.0402,0.891,0.302
Q86YV9,HPS6,0.805,0.0072,0.959,0.187,0.919,0.0195
Q14728,MFS10,1.665,0.0108,1.863,0.00627,1.951,0.00524
Q14151,SAFB2,1.293,0.00269,1.045,0.348,1.121,0.0252
Q8N1F0,Q8N1F0,0.904,0.339,0.772,0.0209,0.893,0.124
Q9HBH5,RDH14,1.358,0.00434,1.167,0.0393,1.004,0.965
O60248,SOX15,1.294,0.00336,0.924,0.144,0.927,0.112
Q9Y6B6,SAR1B,0.731,0.527,0.63,0.00832,0.646,0.104
A8K2Q6,A8K2Q6,1.135,0.0515,1.025,0.681,1.385,0.00289
Q8WVQ1,CANT1,0.828,0.0218,0.922,0.0735,1.014,0.733
Q92928,RAB1C,0.73,0.0366,1.052,0.71,0.949,0.606
Q0P5N8,Q0P5N8,1.287,0.478,0.747,0.000288,0.683,0.118
Q53HW5,Q53HW5,1.272,0.434,1.178,0.343,1.363,0.00472
Q9Y3A5,SBDS,0.797,0.0275,0.907,0.206,1.022,0.753
Q9UQ90,SPG7,1.145,0.371,1.176,0.108,1.201,0.0453
Q86WA8,LONP2,0.747,0.176,0.922,0.637,1.338,0.0418
Q6IB22,Q6IB22,0.576,0.0356,0.655,0.0411,0.759,0.065
Q6FHM2,Q6FHM2,1.683,0.00961,1.672,0.00747,1.324,0.0457
Q6NUL6,Q6NUL6,0.622,0.0177,0.686,0.0358,0.844,0.021
Q6NXR4,CH041,0.545,0.0317,0.748,0.0173,0.693,0.0513
Q92610,ZN592,1.744,0.00392,1.34,0.00174,1.178,0.0107
Q9NUY8,TBC23,0.873,0.476,0.933,0.0686,0.778,0.0101
Q9H773,DCTP1,0.668,0.00332,0.686,0.00102,0.832,0.0145
Q4KMQ2,ANO6,1.263,0.00188,1.223,0.00274,1.133,0.00396
Q8NBF2,NHLC2,0.754,0.0239,0.854,0.00552,0.963,0.686
