Protein.IDs,Gene.name,Uniprot,Median.Ratio.C.N
IPI00022305;IPI00894416;IPI00892775;IPI00892893;IPI00893174;IPI00807524;IPI00893030;IPI00064431;IPI00892766;IPI00892637;IPI00893309,BZW2;HSPC028;MSTP017;hCG_19293,Q9Y6E2;A4D123;B3KM68;B5MCH7;B7Z4K8;Q75MG1;B5MCE7;Q05D83,4.71871
IPI00329625;IPI00940204;IPI00945654;IPI00477123;IPI00945791;IPI00946301;IPI00946602;IPI00946413;IPI00946836;IPI00946637,CPR2;FASTKD4;KIAA0948;TBRG4,B4DU42;Q969Z0-1;Q969Z0;A4D2L2;B3KMT3;B3KRS4;C9JY22;Q969Z0-2;A4D2L3;B3KM73,4.70774
IPI00029079;IPI00945620;IPI00887759,GMPS;hCG_1811302,P49915;A8K639;B4DUT7;Q53F90;B4DXV7,4.70652
IPI00549248;IPI00220740;IPI00658013;IPI00604504;IPI00455423;IPI00872901;IPI00879741,NPM;NPM1,P06748-1;P06748;A4ZU86;B5BU00;Q9BTI9;P06748-2;Q9BYG9;Q9NX34,4.70464
IPI00377261;IPI00063245;IPI00942585,FBP3;FUBP3;hCG_31253;RP11-57C19.3-002,Q96I24-1;Q96I24;A3KFK8;A6NJ37,4.70208
IPI00301263;IPI00893035;IPI00893143;IPI00894050;IPI00893407,CAD,P27708;Q53SY7;Q53SZ4;Q96CK3,4.68939
IPI00006987;IPI00923556;IPI00911118;IPI00910382;IPI00000207,DDX24,Q9GZR7;B4DM03;Q59FS7;Q4V9L5;B4DKV2;B4E300;Q7Z4W0;Q7Z4X3;B4DGI6,4.6403
IPI00003923;IPI00914059;IPI00398067;IPI00913856;IPI00947553;IPI00913888;IPI00945224;IPI00945051;IPI00945920,OK/SW-cl.21;UMPS;hCG_1780791,P11172-1;P11172;A8K5J1;B5LY68;B5LY71;B5LY69;P11172-2;B5LY64;B5LY70;B5LY67;B5LY72,4.62581
IPI00032635;IPI00448024;IPI00514689;IPI00514164;IPI00902743,C20orf40;FAM61B;LSM14B;RAP55B;RP5-1005F21.2-006;RP5-1005F21.2-003;RP5-1005F21.2-002,Q9BX40-1;Q9BX40;Q9BX40-2;B4DQC9;Q5TBP9;Q5TBQ0;Q5TBQ1,4.61435
IPI00218054,C11orf31;SELH,Q8IZQ5,4.60587
