accession.number,gene.name,Entry,"Entry name",,mTRAQ.ratio..N.C.a,cICAT.ratio..N.C.a
IPI00178431,RECQL,P46063,RECQ1_HUMAN,,0.4,0.46
IPI00178926,IGJ,P01591,IGJ_HUMAN,,8.07,4.32
IPI00180404,NEXN,Q0ZGT2,NEXN_HUMAN,,0.23,0.24
IPI00182126,FKBP9,O95302,FKBP9_HUMAN,,0.24,0.38
IPI00182289,RPS29,P62273,RS29_HUMAN,,0.48,0.46
IPI00184330,MCM2,P49736,MCM2_HUMAN,,0.29,0.3
IPI00216057,SORD,Q00796,DHSO_HUMAN,,0.44,0.43
IPI00216138,TAGLN,Q01995,TAGL_HUMAN,,0.2,0.32
IPI00216682,CNN3,Q15417,CNN3_HUMAN,,0.27,0.27
IPI00216694,PLS3,P13797,PLST_HUMAN,,0.22,0.28
IPI00217030,RPS4X,P62701,RS4X_HUMAN,,0.38,0.41
IPI00217458,GPT,P24298,ALAT1_HUMAN,,10.95,12.66
IPI00217661,RAVER1,Q8IY67,RAVR1_HUMAN,,0.45,0.32
IPI00218465,PLAA,Q9Y263,PLAP_HUMAN,,0.49,0.47
IPI00218914,ALDH1A1,P00352,AL1A1_HUMAN,,3.02,3.68
IPI00218993,HSPH1,Q92598,HS105_HUMAN,,0.22,0.25
IPI00219160,RPL34,P49207,RL34_HUMAN,,0.2,0.38
