"Majority.protein.IDs","t.test.Significant.A.N","t.test.Significant.C.A","t.test.Significant.C.N","Log.2..ratio.A.N","Log.2..ratio.C.A","Log.2..ratio.C.N"
"Q8TDN6","+","","+",1.72,0.39,2.11
"O95563;Q5R3B4","+","+","",-3.66,2.33,-1.33
"A6NC48;Q10588;H0Y984","","+","",-0.93,1.38,0.45
"E7EPE1;Q10589","+","","",-1.62,0.47,-1.15
"O14981","+","","+",0.7,0.35,1.05
"Q9BX70","","","+",0.2,1.34,1.54
"Q06187;Q5JY90","","","+",-1.18,-1.7,-2.87
"O00478;D0FY33;E9PCP5;C9JZT5","","","+",-0.38,-0.6,-0.97
"O60566-3;O60566;C9JLW5;O60566-2","+","","+",1.6,0.23,1.83
"O43684;O43684-2;B4DDM6","","","+",0.33,0.34,0.66
"Q13895","+","","+",1.46,0.6,2.06
"Q7L1Q6","","+","+",-0.25,0.73,0.48
"Q9Y6E2;E7ETZ4;B5MCH7;Q75MG1;B5MCE7","","+","+",0.23,0.9,1.13
"Q496Y1;Q7Z3E2","","+","",0.57,-0.74,-0.18
"Q5T2E6;Q5T2E6-2","","","+",-0.58,-0.19,-0.77
"Q9H0W9;Q9H0W9-2;Q9H0W9-3;E9PQS1;E9PPB5;Q9H0W9-4;E9PIP1","","","+",-0.53,-0.19,-0.72
"Q6ZUT1-2;Q6ZUT1;E9PLE3;E9PQL5;Q6ZUT1-3;E9PKA8;E9PSC8","+","","",1.49,-0.48,1
"Q9H3H3-2;Q9H3H3;Q9H3H3-3","","+","",0.5,-1.13,-0.63
"Q9HB07;F5H641;F8VXF6;F8VR84","","+","",-0.55,0.8,0.25
"Q8WUH6","+","","+",-1.39,-0.13,-1.52
"Q8N999;C9J663;Q8N999-3","+","","",1.26,0.14,1.4
"F5H7W8;Q96C57;E7ENF1;F6TFQ5;H0YGK4;F5H3K2;F5H8B7","","","+",1.22,0.23,1.45
"Q9UKR5","+","+","",-2.43,2.42,-0.01
"Q7Z3D6-2;Q7Z3D6;Q7Z3D6-3;Q7Z3D6-4;H0YB09;Q7Z3D6-5;G8JLP2;H0YB62","","","+",-1.07,-1.25,-2.32
"Q9Y224;G3V4C6","+","+","",-1.44,1.16,-0.28
"Q86U38;A8MY76","","","+",0.55,0.6,1.15
"Q6ZMZ3;Q6ZMZ3-2;G3V533;Q6ZMZ3-3","","+","+",-0.35,-1.25,-1.59
"E2QRD5;Q7Z6K5","+","","+",-0.65,-0.38,-1.03
"Q96S19;D6REA6;Q96S19-3;F6VM53;F6TF62","+","+","",0.9,-0.81,0.09
"E7EWW0;Q7Z3J2;F5H7K1;G5E9I3;C9J7I2;Q7Z3J2-2","","+","",-0.04,-1.11,-1.15
"Q9Y6A4","","+","",-0.12,1.32,1.2
"Q1ED39","+","","+",1.35,0.22,1.57
"Q8IV36;Q8IV36-2;Q8IV36-3","","+","+",-0.15,-1.1,-1.25
"Q9BSJ5;Q9BSJ5-3;F5GYT2;Q9BSJ5-2","+","","",1.46,-0.1,1.36
"Q96DM3;F5H2W0;F5H3Y7","+","","",-0.91,0.24,-0.68
"Q969H8","+","","+",-0.82,0.04,-0.78
"Q9UFG5;E7EP72","","+","",1.04,-1.27,-0.23
"Q8WUQ7-2;Q8WUQ7","+","","+",1.28,-0.13,1.15
"Q9BQ61","","+","",-0.21,0.84,0.63
"Q5UCC4-3;Q5UCC4;Q5UCC4-2","+","","",-1.45,1.32,-0.13
"Q9NWV4;B1ARP7","","","+",-0.12,-0.27,-0.39
"Q6IQ49;C9JIQ2;Q6IQ49-2;Q6IQ49-3","+","","+",1.11,0.03,1.14
"P02745;H0Y2W8","+","","",-1.87,0.8,-1.08
"P02746;D6R934;D6RA08","+","","+",-3.04,1.44,-1.61
"P02747","+","","",-1.01,0.22,-0.79
"P06681;E9PFN7;B4DPF3;H0Y3H6;Q5ST57;B4DQI1;E9PDZ0;A2ABK0;B3KTX9","","","+",0.21,1.14,1.35
"Q8NC74","","+","+",0.41,1.24,1.65
"Q5QPG6;Q9BUV8;Q9BUV8-2;Q9BUV8-3;Q9BUV8-4","","+","+",-0.64,2.3,1.66
"Q9GZN8-2;Q9GZN8;E9PAL2","","+","+",0.39,1.1,1.5
"A2A2Q9;Q9Y312","+","","+",1.08,0.53,1.62
"A8MSH5;Q9BY42;A2A2L5;A2A2L6","","+","+",0.41,0.79,1.2
"Q9BQP7;Q5QPE8","+","","+",1.46,0.25,1.71
"P30042;P30042-2;F2Z2Q0","","+","+",-0.41,-0.7,-1.11
"P57076;C9J818;F8VZ95;D3DSE6;C9JX57","+","","+",0.72,0.63,1.35
"Q8WWC4","+","","",-0.71,0.34,-0.37
"Q9BVC5;B4E2G9;C9J4K0","","+","+",0.37,1.22,1.6
"Q7L592;E7EUC2;Q7L592-2","","","+",0.52,0.62,1.14
"Q9BSF0","+","+","+",-1.91,-1.14,-3.05
"P01024;B4E216","+","","",-0.74,0.58,-0.16
"Q9BQ75;E9PHS3;C9J384","","+","+",0.97,1.05,2.02
"P0C0L5;P0C0L4;A6H8M8","+","+","",-1.17,1.17,0
"P04003;A8MVU6","+","","",-0.8,0.92,0.12
"Q8N1A6;D6RIT3","+","+","",1.69,-1.9,-0.21
"H0Y9X1;Q96EY4;D6RA57","","","+",0.45,1.18,1.64
"F5GZ51;Q8N5G0;Q8N5G0-2;E5RH91","","+","",0.48,-0.81,-0.33
"P13671","+","+","",-1.57,1.88,0.32
"Q9H6K1;Q9H6K1-2","","+","",-0.25,1.32,1.07
"Q9BRT2;Q5TAQ0","","","+",0.37,0.52,0.9
"Q9H993","+","+","",-0.56,0.94,0.37
"Q96N11;Q96N11-2","","","+",0.38,1.24,1.62
"Q9BRJ6;C9JQV0","","","+",0.58,1.06,1.64
"C9JXA7;Q0VGL1","+","","",-1.89,1.08,-0.81
"P07357","+","+","",-1.14,1.31,0.16
"P07358;F5H7G1;F5GY80","+","+","",-1.2,1.38,0.18
"Q9H7E9-2;Q9H7E9","+","","+",1.38,-0.1,1.28
"Q8WUY1","","+","+",-0.57,2.08,1.51
"P02748","+","+","",-1.16,1.5,0.34
"Q5T280;E7ESY7","+","","+",1.22,0.62,1.84
"Q9NXH8","","+","",0.85,-1.57,-0.72
"Q8N4J0;Q5T8V1;B4DSD4","","+","+",0.01,1.37,1.38
"Q9HBL7","","+","",0.1,-0.99,-0.89
"Q96LW7-2;Q96LW7","+","","",-1.15,0.55,-0.6
"P00915;E5RHP7;E5RH81;E5RFE7","+","","+",-3.45,-0.22,-3.67
"O43570;O43570-2;B3KUB4","+","+","+",-1.42,-2.1,-3.52
"P00918","+","","+",-3.62,-0.22,-3.84
"P22748","+","","+",-2.37,0.36,-2.01
"P43166;Q86YU0","+","","+",-1.98,-0.31,-2.29
"Q9H8G2","+","","",1.08,-0.2,0.87
"Q9Y376","+","+","+",-0.96,0.49,-0.47
"Q9Y6J0;G5E9F3","+","","",0.85,-0.28,0.56
"P54289;P54289-5;P54289-4;F8WC36;P54289-2;P54289-3","+","","+",-1.87,-0.14,-2.01
"C9JGM2;C9JVC9;Q9NY47-5;Q9NY47;C9JHE6;Q9NY47-3;C9JE82;Q9NY47-2;Q9NY47-4","+","+","",1.37,-1.02,0.35
"Q9HB71;B3KSF1;Q5R370","","+","+",-0.21,1.32,1.11
"P27708;F8VPD4","+","","+",0.67,0.38,1.05
"Q9ULU8-2;Q9ULU8;Q9ULU8-3;F8W7B3;Q9ULU8-4","+","+","",1.64,-1.26,0.39
"P22676;A6NER6;A8MY71","+","","+",-4.57,0.13,-4.43
"H0Y7A7;E7ETZ0;P62158;E7EMB3;Q96HY3;G3V361","","","+",-0.49,-0.41,-0.9
"P27482","+","","",-2.23,1.14,-1.09
"Q96GE6;Q96GE6-2;F8W6Y4;Q96GE6-3","","+","+",-0.2,-0.89,-1.09
"Q9NZT1","+","+","",-1.91,1.58,-0.33
"P27797;B4E2Y9","+","","+",-0.66,-0.16,-0.82
"Q8IU85;Q8IU85-2","","","+",-0.68,-0.61,-1.29
"Q13557;D6R938;E9PF82;Q13557-11;Q13557-4;Q13557-6;Q13557-3;Q13557-8;E9PBG7;Q13557-5;Q13557-10;Q13557-9","","+","+",-0.21,-1.25,-1.47
"Q7Z624;B5MC16;B5MC79;C9JG28;Q7Z624-2","","","+",0.82,0.1,0.92
"P49913","","+","+",-0.95,2.97,2.02
"Q9P1Y5;Q9P1Y5-2","+","","+",0.62,-0.1,0.51
"Q8WVQ1;F8W9C9;F5H7Z7;Q8WVQ1-2","+","","+",-0.94,-0.28,-1.21
"Q01518;Q01518-2;E7ENY9","+","","+",-0.37,-0.31,-0.68
"P40121;B4DU58;B8ZZS7;E7ENU9;E7EUE9;E7EUR2;B8ZZL6","+","+","",0.81,-0.82,-0.01
"P07384","+","+","",-0.84,0.63,-0.21
"F8W7Z8;Q6MZZ7;Q6MZZ7-2;F5GYA7","+","+","",-0.83,1.79,0.96
"P17655;H0Y323;B7ZA96","+","","+",-0.78,-0.38,-1.16
"E7EV01;O15484;F5GX03","","+","+",-0.28,-1.24,-1.52
"P04632","+","","",-0.95,0.26,-0.69
"P52907","+","","+",-0.46,-0.24,-0.7
"P47755;F8W9N7;B4DG50;C9JUG7","+","","+",-0.94,0.34,-0.6
"E7EQ40;B1AK88;P47756-2;B1AK87;B1AK85;F6USW4","","+","+",-0.15,-0.54,-0.69
"Q86X55;Q86X55-1;Q86X55-2","","+","+",0.19,0.74,0.94
"Q9HA77","","+","+",0.2,0.93,1.13
"G5E934;Q6P4E1;Q6P4E1-2","","","+",-0.46,-0.67,-1.13
"Q96PB1;B5MDG2","","+","+",-1.5,-1.86,-3.36
"Q8WXE0;Q8WXE0-2","","","+",0.39,0.73,1.12
"P29466;P29466-2;G3V169;P29466-3;B4DVD8;P29466-4;H0YEC7","+","+","",0.52,-1.63,-1.11
"Q92851-4;Q92851-6;Q92851;Q92851-2;Q92851-5;Q92851-3;Q68HC0","","","+",-0.64,-0.44,-1.09
"P31944","+","+","",-2.49,2.27,-0.21
"P42575;C9JRS0;P42575-2","","","+",0.87,0.86,1.73
"P55210;B4DUB5;Q5SVL2","+","","+",-1.01,-0.35,-1.36
"B7Z468;P20810-6;E7ESM9;P20810-7;G5E9D3;P20810-5;P20810;B7Z574;G5E946;P20810-4;P20810-2;E9PCH5;E7ES10;E9PDE4;P20810-3;H0Y7F0;F8W7E0","+","+","+",0.54,-1.27,-0.73
"Q86V15;Q86V15-2","+","+","",1.72,-1.23,0.49
"P04040","","","+",-0.54,-0.19,-0.72
"Q03135;E9PCT5","+","+","+",-0.97,-1.79,-2.76
"Q03135-2;C9JKI3","+","+","+",-1.06,-2.61,-3.68
"P16152","+","","",-0.71,-0.19,-0.89
"O75828","+","","",1.31,-0.85,0.46
"Q13185","","","+",0.25,0.9,1.15
"P45973;G3V1X9","+","","+",0.72,0.31,1.03
"Q9HC52;C9JM54","+","","+",0.79,0.61,1.4
"Q6P1N0","","+","",0.29,-0.64,-0.35
"Q8IX12;Q8IX12-2;F5H2E6;F5H1H2","+","","+",0.75,-0.16,0.59
"Q96CT7","","+","",0.12,0.49,0.61
"Q6PK04","","+","+",1.04,1.53,2.58
"Q6ZUS6-4;Q6ZUS6-5;Q6ZUS6-2;D6RDA1;D6RIA9;Q6ZUS6-3","","+","+",0.82,-2.1,-1.28
"Q96ER9;Q96ER9-2","","","+",0.29,0.46,0.75
"Q9Y3C0;F5GZ97;F5GWI9;H0YGN0","","","+",0.56,0.19,0.75
"Q9P031;F8VNY5","+","","+",1.37,0.68,2.05
"Q16204","","+","",0.47,-0.76,-0.29
"A1A5D9;A1A5D9-2","+","","",-0.84,-0.38,-1.22
"Q8N954;Q8N954-2","","","+",0.33,0.47,0.8
"Q9H6F5","+","","+",1.34,0.39,1.73
"Q9P219","+","+","",1.74,-1.46,0.28
"Q96AQ8","+","","+",0.48,0.4,0.87
"Q9GZT6;Q9GZT6-2;H0YF06","+","+","",0.78,-0.56,0.22
"Q7Z6B0;Q7Z6B0-2;Q7Z6B0-3;F5H7G3;F5H1Z3;H0YGB4","","+","+",0.08,-1.75,-1.68
"Q9BW85","+","","",0.82,-0.13,0.69
"Q96F63","","","+",0.89,0.46,1.35
"O00175","+","+","",2.36,-2.51,-0.15
"P20248","","+","",0.02,1.32,1.35
"P14635;E9PC90;Q5TZP9","","+","+",0.52,2.68,3.21
"C9JI13;O75909-4;O75909;G3V5E1;A8MZK4;O75909-1;C9JSW4;C9J9Q3;O75909-2;G3V2Q3","","+","",-0.48,1.29,0.81
"Q96S94;F2Z3J5;Q96S94-2","+","","",1.26,-1.11,0.15
"O60563","+","","",1.02,-0.21,0.81
"Q8N7R7;Q8N7R7-3;Q8N7R7-2","+","","",1.81,-0.61,1.2
"O14618;E9PP76","+","+","",-0.83,0.81,-0.03
"Q4G0I0","+","","",1.87,-0.59,1.28
"P78371;B7ZAT2;F5GWF6;F8VQ14","","+","+",0,0.45,0.45
"P49368;E9PAQ6;P49368-2;B4DUR8","","+","+",0.12,0.5,0.62
"P50991;F5H5W3;B7Z9L0;B7Z2F4","","+","+",-0.16,0.77,0.61
"P48643;E7EWW2;E7ENZ3","","+","+",0.21,0.34,0.55
"P40227;B4DPJ8;A6NCD2","","+","+",0.08,0.55,0.63
"Q99832;B8ZZC9;B7Z4T9;B7Z4Z7;F5GZK5;B7Z1C9;A8MWI8","","+","+",0.18,0.45,0.63
"P50990;G5E9B2;B4DEM7","+","","+",0.27,0.27,0.54
"Q93033","+","","+",-1.19,-0.6,-1.79
"Q6YHK3;Q6YHK3-4;Q6YHK3-2;Q6YHK3-3","+","","",-2.35,1.4,-0.95
"P08571;D6RFL4","+","","+",-1.86,0.6,-1.25
"Q86VB7-3;F5GZZ9;Q86VB7-2;C9JHR8;Q86VB7-4","","","+",-0.72,-1.34,-2.06
"Q9NR16;E7EVK4;Q9NR16-2","","+","+",-0.92,-1.59,-2.51
"Q8N6Q3","+","","+",-2.84,0.7,-2.14
"Q9Y5K6","","+","+",0.1,-0.64,-0.54
"P16671;E7EU05;D9IX66;D9IX68;E9PLT1","+","","",-1.01,0.18,-0.82
"P28907;H0Y950","+","+","+",-1.93,-2.44,-4.38
"O15446","+","+","+",1,1.19,2.19
"P09326;Q8MGR0","+","","+",-2.83,-0.97,-3.8
"E9PR17;P13987;E9PNW4;H0YET2","+","+","",-0.96,0.74,-0.22
"P04233-2;B4DUJ2","+","","+",-0.98,0.06,-0.92
"P14209;A6NIW1","","+","+",0.21,-1.02,-0.81
"O75794","","+","+",-0.21,1.5,1.28
"Q13042;Q13042-2;Q13042-3","+","","",0.89,-0.2,0.69
"Q9UJX2;Q9UJX2-3","","","+",0.5,0.03,0.52
"G3V1C4;P30260;G5EA36;B4DL80","","+","+",0.17,0.54,0.71
"P49427","","+","",-0.26,1,0.74
"O60508;Q5SRN1","+","","",0.99,-0.18,0.81
"Q9Y5S2","+","+","",0.77,-0.91,-0.13
"Q99459;E7EUB4","+","","+",0.72,0.19,0.91
"Q6P1J9;B4DV47","+","","+",0.84,0.04,0.87
"Q99618;F8WDL1;F5GX58","","+","+",0.41,1.29,1.7
"B5MBX0;Q96FF9","","+","+",0.04,1.07,1.11
"Q53HL2","","+","+",-0.14,2.75,2.61
"F5GYI6;P12830;Q9UII8","+","+","",0.31,-0.65,-0.34
"C9JRI6;P55290;F5H6D5","","+","+",-0.28,-1.12,-1.4
"Q12864;E7EN24","","+","+",-0.27,-0.97,-1.24
"P22223;F5GZX7;P22223-2","+","","",2.24,-0.94,1.3
"P06493;P06493-2;E5RIU6","+","+","+",0.97,1.84,2.81
"Q9UQ88;Q9UQ88-2;Q5QPR3;Q9UQ88-3;Q9UQ88-4;Q5QPR4;Q9UQ88-10;Q9UQ88-5","+","","",-0.83,0.78,-0.05
"P21127;P21127-2;P21127-3;P21127-8;P21127-9;P21127-6;P21127-10;P21127-5;P21127-4;P21127-12;Q9UQ88-9","+","","+",1.34,-0.32,1.02
"Q9NYV4;Q9NYV4-2;E7EUM9;Q9NYV4-3","+","","+",1.27,0.69,1.96
"Q9BWU1;Q9BWU1-2;H0Y3K1;B4DUB1;Q5JQZ9","+","","",1.13,-0.1,1.03
"G3V5T9;P24941;P24941-2;E7ESI2","","+","+",0.69,1.02,1.72
"P11802;F8VWX7;F8VTV8;F8VYH9;F8W1L8;Q96BE9;F8VYY1","","","+",0.73,0.72,1.45
"Q96SZ6-3;Q96SZ6-2;Q96SZ6;Q675N4","","+","+",-0.18,2.1,1.92
"P50750-2;P50750","","","+",0.3,0.36,0.66
"Q01850","","","+",0.8,1.15,1.95
"G8JLG2;Q15517;Q2L6G8","+","+","",-1.85,1.88,0.03
"E7ET43;P13688-10;P13688-8;P13688-2;P13688-9;P13688-11;E7EUB1;P13688-4;P13688-3","","+","+",-0.62,3.32,2.7
"P06731","","+","+",-0.54,3.37,2.83
"P40199","","+","+",-0.71,3.9,3.19
"Q14002","+","","",-3.27,1.77,-1.49
"P17676","","+","+",0.01,1.56,1.57
"Q03701;F5H3Y6","+","","+",2.14,-0.39,1.75
"Q9NZK5;B4E3Q4;Q9NZK5-2","+","+","+",-1.69,-1.21,-2.9
"P19835;Q86SR3;P19835-2","","+","",0.09,2.35,2.44
"E9PC62;O95319-3;O95319-4","+","","",0.77,-0.35,0.42
"Q03188;H0Y8J2;Q6PIR0","+","+","",0.78,-0.62,0.16
"P49454","","+","",-0.29,1.34,1.05
"Q9H3R5;H0Y9E6;B3KVZ3","+","","+",2.01,-0.06,1.95
"Q9BYV8;Q9BYV8-3","","","+",0.58,0.49,1.08
"Q53EZ4;Q53EZ4-2","+","","+",1.17,0.74,1.92
"Q6P2H3;Q6P2H3-2;F8W7K4","","","+",0.9,0.6,1.5
"Q96G23;Q5SZE1;Q5SZE4;H0YKH6;Q5SZE3;H0YNU7;Q5SZE2","","+","",0.1,1.45,1.56
"P23141-2;P23141;E9PAU8;B7Z795","+","","",-1.84,1.13,-0.72
"O00748;O00748-2","+","","+",-1.44,0.06,-1.38
"Q6UWW8","","+","+",-0.72,-2.07,-2.79
"E5RJF8;O15182;E5RK82;E5RFM2;E5RH67","+","","+",0.85,0.42,1.26
"B4E1Z4;P00751","+","+","",-0.67,0.9,0.22
"P00746","+","","",-1.34,0.37,-0.98
"Q9UEE9;Q9UEE9-2","+","","+",0.46,0.26,0.72
"Q9Y281;G3V5P4","+","","+",-1.68,0.15,-1.53
"Q9P2M7;Q9P2M7-2","+","+","",1.18,-1.32,-0.14
"Q13111;Q13111-3;C9JLF8;Q13111-2","","","+",0.17,1.1,1.26
"Q13112","","+","+",0.64,1.38,2.01
"Q9NX63;C9JRZ6;F8WAR4","+","+","",0.69,-0.65,0.04
"Q9NYJ1-2;Q9NYJ1","+","","",0.83,-0.68,0.14
"O14646;O14646-2","+","","+",2,-0.32,1.68
"O14647;O14647-2","+","+","",0.84,-0.6,0.24
"Q14839-2;Q14839;F5GWX5;F5H2G1","+","+","+",0.56,0.48,1.04
"Q9P2D1","+","","+",1.39,0.53,1.92
"O14757;E7EPP6;F5H7S4","","+","+",0.88,1.3,2.17
"O96017-9;O96017;O96017-12;O96017-4;Q9HBS5;H0Y820;C9JFD8;O96017-11","+","","+",1.2,-0.13,1.08
"Q8IWX8","+","","+",0.76,0.27,1.03
"P10645","+","","+",-6.55,1.54,-5.02
"P05060","+","","+",-5.67,1.38,-4.29
"Q9Y259","","","+",-0.74,-0.96,-1.69
"Q9Y3E7;Q9Y3E7-3;Q9Y3E7-2;Q9Y3E7-4","+","","",0.53,-0.25,0.28
"Q9BY43;H0YI46","","+","",0.17,-0.87,-0.7
"Q9H444","+","","",0.78,-0.16,0.62
"Q96CF2","+","+","",1.88,-1.54,0.34
"Q96FZ7","","+","+",-0.29,-0.74,-1.03
"Q9UHD1;Q9UHD1-2;E9PPQ5","","+","+",-0.2,1.24,1.04
"Q99653;H0YNG9;F5GX29;H0YKE7","+","","",-1.07,0.43,-0.65
"O43745","+","","",-1.94,0.99,-0.95
"Q9GZS9-2;Q9GZS9","","+","+",-0.71,-2.56,-3.28
"Q8WVB6-2;Q8WVB6;E7EXA6;Q8WVB6-3","+","","+",1.43,-0.18,1.25
"O15111","","+","",-0.56,1.29,0.73
"Q6FI81;Q6FI81-3","+","","+",0.51,0.14,0.64
"Q86X95;Q86X95-2;F2Z3Q1","+","","+",1.98,-0.39,1.59
"Q969X6;Q969X6-3;Q969X6-2","+","","+",1.21,0.26,1.47
"Q8N5K1","+","","",-0.5,0.13,-0.37
"Q07065","","+","+",-0.22,-1.07,-1.29
"Q14008-3;Q14008;Q14008-2","+","","+",0.58,0.16,0.74
"P12277;E7EUJ8;G3V4N7","","+","+",0.48,-2.68,-2.2
"P12532;P12532-2;F8WCN3","+","","",-1.16,-0.04,-1.2
"P17540","","","+",1.94,1.19,3.12
"P61024;Q5T179","","+","+",0.62,1.57,2.19
"P33552","+","","+",1.65,0.47,2.12
"Q7Z460;C9JW97","","","+",1.02,0.08,1.1
"F5H604;E7EW49;E7ERI8;E3W994;O75122;E9PBA6;F5H3X0","+","","",0.56,-0.36,0.21
"Q8N2M8;F5H0Q6;F8WAG9;Q8N2M8-3","+","","",1.06,-0.96,0.1
"Q05315","+","","+",-2.51,-0.53,-3.04
"A8K7I4","","+","+",-1.38,-3.63,-5.01
"Q14CN2","+","","",-1.84,0.61,-1.23
"P51788;P51788-3;E9PCD2;E9PBD9","+","","+",1.16,0.11,1.27
"P51790;B9EGJ9","+","+","",0.54,-0.68,-0.13
"O95832;B4DLC3","","","+",0.15,2,2.14
"O00299","+","+","",-0.54,0.98,0.44
"O15247;E9PGQ2","+","+","+",-1.16,-1.28,-2.44
"Q9Y696;F5H1F8","+","+","",-0.85,0.5,-0.35
"Q96NY7;Q96NY7-2","+","","+",-2.48,-0.15,-2.63
"B7Z6F8;Q14677-2","","+","+",0.26,-0.9,-0.64
"Q9UDT6-2;F5GYW3;Q9UDT6","+","","",0.78,-0.61,0.17
"Q96JQ2","","+","+",0.05,-1.72,-1.67
"E9PL17;Q92989;Q92989-2;E9PJM4","+","","",1.11,-0.3,0.8
"Q9H078-2;Q9H078;F8W7P6;H0YGM0;E7EWN6;B4DXW4;F5GX99;Q7Z777","","","+",0.32,0.4,0.72
"O96005-2;O96005;F5H8J3;B4DDS3","","","+",-0.54,-0.1,-0.64
"Q96KA5;Q96KA5-2;G5E9Z2","+","","+",-0.7,0,-0.7
"O76031;Q9H072;H0YN08","+","","",0.58,0.21,0.79
"P09497-2;P09497","","+","+",-0.25,-0.79,-1.05
"P23946","+","","+",-4.71,0.45,-4.26
"Q96DG6","+","+","+",-1.17,-1.59,-2.76
"P30085;E7EVE6;Q5T0D2;E9PGI8","","","+",-0.2,-0.75,-0.96
"P51911;B4DUX6;B7Z7E1","+","","+",-1.92,-0.02,-1.93
"Q99439;E7ENR3;A6NFI4","","","+",0.36,0.39,0.75
"Q15417;F8WA86;B4DFK6;E9PDU6","+","+","",-1.22,1.36,0.14
"Q6P4Q7","","","+",-0.49,-0.55,-1.04
"A5YKK6;A5YKK6-2;A5YKK6-3;F8WA87;A5YKK6-4;B5MDN3","+","","",0.6,0.07,0.68
"Q9NZN8;F8VV52;Q9NZN8-5;Q9NZN8-4;Q9NZN8-2;F8VP97;F8W145;F8VRS8","+","+","",-0.52,0.36,-0.15
"P09543;P09543-2;F8W7I0","+","+","",-0.39,0.56,0.18
"Q8N129","+","","",-1.3,0.36,-0.94
"Q96F85;B8ZZB8;Q96F85-2","+","","+",-1.73,-0.55,-2.28
"Q8N137-2;Q8N137-3;Q8N137;Q8N137-5;Q8N137-4","+","+","",0.59,-0.87,-0.28
"Q86WW8;B9A057","","","+",-1.19,-1.11,-2.3
"Q8WX92","+","","+",0.71,0.22,0.93
"O43405;G3V4C4;H0YJW4;E7EN67;Q96IU6","+","","+",0.8,0.71,1.52
"Q96MW5","+","","",-0.78,0.56,-0.22
"P38432","+","","",1.08,-0.05,1.03
"Q99715;D6RGG3;Q99715-4;Q99715-2;C9JLI9","+","","+",1.29,0.34,1.64
"Q05707;Q05707-2;Q05707-3","+","","+",-2.42,0.01,-2.41
"P39059","+","+","",-2.44,1.65,-0.79
"Q9UMD9;Q9UMD9-2;F5H0Q7;A2A2Y8","+","+","",1.26,-1.77,-0.51
"F5GZA2;P39060;P39060-1;F8WDA7;P39060-2","+","","+",-2.32,0.45,-1.87
"P02452","+","","",-1.8,0.48,-1.32
"F5H299;P08123","+","","",-1.92,0.91,-1.02
"Q2UY09;B5MDS6;Q2UY09-2;C9IZH2;Q2UY09-3","+","","+",-2.29,0.08,-2.22
"P02461;E7ENY8;P02461-2","+","+","",-0.59,0.77,0.17
"E7EPD1;P08572","+","","+",-0.76,-0.49,-1.25
"P12110;P12110-3","","","+",-0.6,-0.87,-1.47
"P12111;P12111-2;E7ENL6;E7EVT9","+","","+",-0.69,-0.75,-1.44
"Q9Y6G5;D6RJ90;H0Y9N4;D6RC04","+","","",-0.68,0.32,-0.35
"Q86X83;F8WBW1;F8WC41","+","","",-1.44,1.2,-0.24
"Q9H0A8;Q9H0A8-2","+","","",-0.6,0.11,-0.48
"P53621;P53621-2","","","+",-0.29,-0.33,-0.62
"Q9Y678;F5GXH1","","","+",-0.22,-0.38,-0.6
"Q9UBF2","+","","",0.58,-0.52,0.06
"Q9NZJ6;Q5T063","+","+","",0.8,-0.77,0.03
"P31146","+","","+",-0.91,0.08,-0.83
"Q9BR76","+","","",-0.55,0.17,-0.38
"A7MAP0;Q9ULV4;B4E3S0;H0YHL7","","+","",-0.41,0.68,0.27
"P57737;P57737-2;B3KSY4","+","","",-0.58,0.25,-0.33
"Q14019","+","","+",-0.9,-0.13,-1.03
"P13073","","","+",-0.31,-0.69,-1
"O43402","","","+",0.16,0.34,0.5
"P10606","","","+",-0.56,-0.64,-1.2
"P14854","","","+",-0.84,-0.72,-1.56
"P09669","","","+",-0.64,-0.64,-1.27
"D6RGV5;D6RIE3;A8MZ71;P14406;D6R9C3","+","","+",-2.31,0.63,-1.67
"O14548;H0YBD2;E5RJZ1","","","+",-0.58,-0.52,-1.1
"P24311","","","+",-2.73,0.18,-2.54
"P15954;D6R9Z7","+","","+",-1.46,-0.29,-1.75
"P00450","+","","",-1.18,0.93,-0.25
"P15088","+","","+",-4.2,0.21,-3.99
"Q9UI42;B7Z576;B7Z5J4;F5H0B9","+","+","",-1.95,1.53,-0.42
"Q96IY4;C9J9G1;Q96IY4-2","+","+","",-1.48,2.4,0.93
"P16870;P16870-2","+","","+",-1.77,-0.42,-2.19
"P14384;F8W111","+","","+",-2.57,0,-2.57
"Q99829;F2Z2V0;A6PVH9;E7ENH5;Q5JX44;Q5JX60;Q5JX59;Q5JX58;Q5JX56;Q5JX45;Q5JX52;Q5JX55;Q5JX61","","+","+",0.05,1.89,1.94
"Q10570","+","","+",0.92,0.23,1.16
"Q9P2I0;B3KMI0","","","+",0.32,0.46,0.78
"Q9UKF6;G5E9W3;E7ER23","+","","+",1.25,-0.18,1.06
"O95639;O95639-2;O95639-3;C9JEV9","+","","+",0.85,0.45,1.3
"Q16630-2;Q16630;C9JGC2;F8WJN3;Q16630-3","+","","+",0.51,0.28,0.79
"P50416;P50416-2","+","","+",-1.08,0.01,-1.07
"P23786","+","+","+",-0.62,-0.59,-1.21
"Q9H3G5","+","","+",-1.32,-0.6,-1.92
"P29762","+","","",-3.22,1.53,-1.69
"P29373;Q5SYZ4","","+","",-0.45,2.2,1.76
"P78560","+","","+",-3.4,0.78,-2.62
"P43155;P43155-2;C9JBD1;P43155-3","+","","",-0.9,0.32,-0.58
"Q96SW2;Q96SW2-2;F5H3U1","+","","",0.95,-0.23,0.73
"O75629","","+","",-0.5,0.95,0.44
