"Majority.protein.IDs","t.test.Significant.A.N","t.test.Significant.C.A","t.test.Significant.C.N","Log.2..ratio.A.N","Log.2..ratio.C.A","Log.2..ratio.C.N"
"Q8WXE1;Q8WXE1-2;Q8WXE1-3;B5MEB7;C9IZM8;F8WE08","+","","",1.31,-0.74,0.57
"P46100;P46100-4;P46100-3;P46100-5","+","","+",0.72,0.36,1.09
"F5H4C0;F5H7N7;F5H096;F5H211;E9PEE0;E9PE62;P54252;P54252-2;C9JQV6;E9PB63;G3V3R7;H0YFR2;P54252-3;G3V328;G3V4U9;G3V3T6;G3V2G1;E9PJN5;G3V526","+","+","",0.89,-0.97,-0.08
"Q9Y679;Q9Y679-2;G8JLM8;Q9Y679-3","+","","",-0.57,0.5,-0.07
"O15169;O15169-2","+","","",0.94,-0.31,0.63
"P25311;C9JEV0;C9JAB1","+","+","",-1.39,1.57,0.18
"P20160;Q86SR2","","+","",-0.92,2.91,1.99
"F5H6I0;P61769","+","","+",-1.5,0.43,-1.07
"Q9Y2C3","+","","+",-3.58,0.38,-3.2
"E9PKS1;Q6ZMB0;Q6ZMB0-2;C9JDU9","+","","+",-2.47,-0.7,-3.17
"Q8NFL0","+","","+",-3.37,-0.02,-3.39
"Q8NHY0;Q8NHY0-2;B4DZE4","","","+",-1.47,-0.72,-2.19
"P15291;P15291-2;F5H0P7","","+","",-0.82,1.34,0.52
"O60513;C9J3R8;E7ETS9;C9J4S5","+","+","+",-0.93,-1.17,-2.1
"Q99933;Q99933-3;Q99933-4;Q99933-2;E2QRM7;C9JYK5","","","+",-0.24,-0.62,-0.86
"O95816;B4DXE2","+","","",-1.06,0.34,-0.73
"Q9UQB8-5;Q9UQB8;Q9UQB8-2;Q9UQB8-6;Q9UQB8-4;Q9UQB8-3;B4DWA1","","+","+",0.1,1.59,1.69
"O75531","+","+","",-0.65,0.9,0.25
"Q92560;F8W6N3","","+","+",0.29,1,1.29
"P80723;P80723-2","+","","+",-1.12,-0.84,-1.96
"Q07812-2;Q07812;Q07812-8;Q07812-5;Q07812-7;Q07812-4","+","","",0.69,-0.4,0.29
"Q9NRL2;Q9NRL2-2","+","","+",0.92,0.32,1.24
"Q9UIG0;Q9UIG0-2","","+","+",0.35,0.75,1.1
"Q9BXH1;Q9BXH1-2","+","","+",1.68,0.31,2
"Q8WY36;Q8WY36-2;C9JA69","+","","",1.6,0.02,1.62
"G5E9L4","+","","",-0.91,0.33,-0.59
"P51572;C9J0M4;C9JQ75","","+","",0.04,0.7,0.74
"O75363","+","+","+",-1.66,-2.85,-4.52
"O75934","+","","",0.55,-0.03,0.52
"Q9P287;Q9P287-3;Q9P287-2;Q9P287-4;B4E318","+","+","+",0.98,0.89,1.86
"F5H5P2;P12694;B4DP47;F5GXU9;E7ESE6","+","","",0.73,-0.31,0.42
"Q07817;Q07817-3;Q5TE64;Q9H1R6;Q5QP56;Q07817-2","","+","+",0.15,1.44,1.59
"Q9BXK5","","+","+",0.31,-1.18,-0.87
"Q9BZR8;Q9BZR8-3;Q9BZR8-2","","+","+",-0.36,-1.08,-1.45
"Q5TBC7","","","+",-0.58,-1.19,-1.78
"Q4VC05-2;Q4VC05","","","+",0.37,0.73,1.1
"Q9NYF8;Q9NYF8-2;Q9NYF8-4","+","","+",2.26,-0.65,1.61
