Accession.No.,Gene.Symbol,UniProt,Log2.I.N,Log2.II.N
IPI00385751,FUCA1,Q3LID0;Q8NAC2;Q14334;P04066;Q14335,-1.36,-3.2
IPI00012442,G3BP1,Q5U0Q1;Q53HH4;Q6ZP53;Q13283;Q6FI03;Q32P45;Q5HYE9,5.69,3.74
IPI00216008,G6PD,Q8IU70;Q16000;Q2VF42;Q0PHS1;P11413;Q8IU88;Q8IUA6;Q0PHS4;Q2Q9B7;Q16765;Q96PQ2;Q2Q9H2,NA,2.24
IPI00011454,GANAB,Q9P0X0;Q14697;Q8WTS9;A6NC20;Q9BS14,1.02,1.77
IPI00219018,GAPDH,B7Z697;P04406;Q2TSD0;Q53X65;P00354;Q5ZEY3;Q0QET7;Q16768,NA,0.5
IPI00555812,GC,Q6GTG1;Q6LDC6;Q16309;Q53F31;P02774;B4DPP2;Q16310,-0.78,NA
IPI00031461,GDI2,Q5SX90;P50395;Q9UQM6;Q6IAT1;O43928;Q8TB95;Q5SX87;Q5SX88,NA,0.78
IPI00023728,GGH,Q92820,NA,1.83
IPI00008552,GLRX3,B3KMQ5;B3KMP7;Q9P1B0;Q9P1B1;Q96CE0;O76003;Q5JV01,4.91,4.97
IPI00030207,GMDS,Q5TGM9;Q6FH09;O60547;Q9UGZ3;O75357;Q9UJK9;Q5T954,NA,3.01
IPI00641950,GNB2L1,NA,1.32,NA
IPI00221232,GNG12,Q69YP5;Q9UBI6;Q53GD1;Q9BRV5,NA,1.3
IPI00009305,GNPDA1,P46926,1.95,0.98
IPI00005490,GOLPH3,Q9UIW5;Q9H4A6,NA,4.51
IPI00027497,GPI,Q9BRD3;Q9BSK5;Q9UHE6;P06744;Q59F85,1.82,NA
IPI00026199,GPX3,Q9NZ74;Q86W78;O43787;P22352;Q9UEL1;Q6NXQ3,-3.42,-3.4
IPI00026314,GSN,A8MYN7;Q5T0H8;P06396;Q69YR8;B7Z373;Q5T0I0;A8MUD1;Q8WVV7;Q5T0I1;Q5T0I2;A2A418;Q5T0H7,-0.68,-0.76
IPI00219673,GSTK1,B4DIH1;Q9P1S4;Q2NLC8;Q7Z520;Q6FII1;B4DSY2;Q6P4H0;Q9Y2Q3,1.77,NA
IPI00059366,H2AFY,Q9H8P3;O75367;Q9UP96;Q96D41;Q7Z5E3;O75377;Q59FH0;Q503A8,7.94,NA
IPI00031522,HADHA,Q53T69;Q9UQC5;Q96GT7;P40939;Q53TA2;Q16679;B2R7L4,-1.59,-1.35
IPI00148063,HEBP1,Q9Y5Z5;A8K1G2;Q9NRV9,NA,-3.02
IPI00217465,HIST1H1C,P16403;A8K4I2,5.72,4.65
IPI00453473,HIST1H4I,Q6FGB8;Q6DRA9;P02304;Q6NWP7;P02305;B2R4R0;A2VCL0;Q6B823;Q0VAS5;P62805,1.43,1.12
IPI00003935,HIST2H2BE,Q9UE88;A3KMC7;A8K110;Q4KMY1;Q16778;Q5QNX0,1.81,2.57
IPI00171611,HIST2H3C,Q6NWP9;Q6NWP8;Q71DJ3;P02296;A0PK91;A5PLR1;P02295;Q6FGY6;Q71DI3;A0PJT7;P20671;Q93081;Q6ISV8;A6NFS4;P68431;Q6NXU4;A2BDF6;Q6B053;P16106;P57754,2.93,NA
IPI00005171,HLA-DRA,Q5SP06;P01903;A2BET4;Q30160;Q30118;Q861I2;Q59GE3;Q9TP70;Q29868;Q6IAZ1,-1.92,NA
IPI00747116,HLA-DRB3,NA,-2.86,-2.25
IPI00293564,HMGCL,B4DUP4;Q6IBC0;Q96FP8;P35914,NA,-1.42
IPI00008934,HMGCS2,P54868;B7Z8R3;Q6IBF4;Q5SZU2,-0.76,-1.8
IPI00396378,HNRNPA2B1,P22626;A8K064;P22627;Q9UC98,NA,1.9
IPI00216592,HNRNPC,P22628;P07910;Q5FWE8;Q59FD3;Q86SF8;Q96HK7;Q569J8;Q96HM4;Q9BTS3;Q86U45;Q53EX2;Q96IY5,NA,2.06
IPI00027834,HNRNPL,A6ND69;P14866;Q6NTA2;A6NIT8;Q9H3P3,NA,1.7
IPI00419373,HNRPA3,Q6URK5;P51991;Q66K53;Q53RW7,NA,4.62
IPI00003881,HNRPF,Q5T0N2;P52597;B3KM84;Q8NI96;Q96AU2,NA,3.9
IPI00013877,HNRPH3,Q9UFU4;Q9NPI4;Q9BSX1;Q9Y4J5;B3KRE1;A8K682;Q53F48;Q9NPA7;Q9NP96;Q9NP53;P31942,2.28,2.49
