"UniProt Accession","Primary Gene","LoS log2 FC","HiS log2 FC","LoT log2 FC","HiT log2 FC","Signif. LoS","Signif. HiS","Signif. LoT","Signif. HiT"
D4GW40,srp19,-0.947,-1.007,-0.963,-1.357,1,1,1,1
D4GW56,boa2,-1.061,-1.074,-1.293,-2.283,1,1,1,1
D4GW60,hcpC,-1.967,-1.605,-1.811,-2.142,1,0,1,0
D4GW62,HVO_1120,-0.279,-1.851,-1.902,-0.341,0,1,1,1
D4GW66,ahbC,-0.606,-0.418,-1.218,-1.329,1,0,1,1
D4GW75,HVO_1127,-0.508,-0.752,-0.486,-0.682,1,1,1,1
D4GW77,cbiX2,-0.301,-0.131,-0.219,-0.343,1,0,1,1
D4GW79,HVO_1129,-0.309,-0.413,-0.399,-0.357,0,1,1,1
D4GW83,purA,0.136,-0.148,-0.143,-0.179,0,0,0,1
D4GW87,HVO_1135,-1.216,-1.023,-1.654,-1.796,1,1,1,1
D4GW97,HVO_1141,-1.196,-0.636,-0.724,-1.848,1,1,0,1
D4GWB3,HVO_2753,-8.594,-9.388,-7.846,-9.37,1,1,1,1
D4GWE6,hemA,-0.163,-0.277,-0.852,-0.846,0,0,1,1
D4GWF1,HVO_2314,-0.437,-0.707,-0.857,-1.241,1,1,1,1
D4GWI3,HVO_2334,-0.392,-0.036,-0.663,-0.21,0,0,1,0
D4GWI6,HVO_2337,0.251,-0.636,-1.669,-0.879,0,0,1,1
D4GWI7,thrB,-0.349,-0.444,-0.463,-0.444,0,1,1,0
D4GWJ6,HVO_2347,-0.209,-0.677,-0.684,-0.39,1,1,1,1
D4GWL3,HVO_2365,-3.405,-2.275,-3.806,-4.093,1,1,1,1
D4GWL7,HVO_2369,-0.916,-0.692,-1.688,-1.702,1,1,1,1
D4GWM6,pstB1,-0.363,-0.242,-0.743,-0.826,1,1,1,1
D4GWN1,radB,-0.587,-0.243,-0.234,-0.763,1,0,0,1
D4GWR9,HVO_1168,-0.802,-0.921,-1.216,-1.932,1,1,1,1
D4GWS3,HVO_1172,-0.491,-0.382,-0.687,-0.494,1,1,1,1
D4GWT9,HVO_1184,-1.434,-1.429,-1.617,-1.809,1,1,1,1
D4GWW4,HVO_2771,0.522,-0.085,-0.952,-0.376,1,0,1,0
D4GWX9,HVO_1209,-0.547,-0.311,-1.37,0.426,1,1,1,1
D4GX42,sdhC,-0.281,-0.123,-0.824,-0.299,0,0,1,0
D4GX47,HVO_1245,-0.231,-0.808,-0.553,-0.592,1,1,1,1
D4GX50,HVO_1247,-1.394,-0.827,-1.448,-1.083,1,1,1,1
D4GX65,moxR2,-0.445,-0.249,-1.026,0.201,0,0,1,0
D4GX67,HVO_1258,-0.975,-0.192,-1.156,-0.092,0,0,1,0
D4GX70,HVO_1260,-0.553,-0.476,-1.106,-1.176,0,0,1,1
D4GX94,HVO_1274,-1.842,-2.085,-2.042,-1.829,1,1,1,1
D4GXA8,HVO_1280,-2.915,-3.682,-5.001,-3.029,1,1,1,1
D4GXB4,gch3,-0.323,-0.368,-0.986,-1.123,1,1,1,1
D4GXC5,HVO_1289,-0.663,-0.488,-1.32,-0.348,1,1,1,1
D4GXD3,HVO_1293,-1.019,-0.7,-1.169,-0.392,1,1,1,0
D4GXD9,agsA,-0.843,-0.823,-1.625,-1.427,0,0,1,1
D4GXE4,tpiA1,-0.647,-0.194,-0.358,-0.662,1,0,1,1
D4GXF6,HVO_1309,-0.253,-0.688,-0.673,-0.19,1,1,1,1
D4GXG2,glyA1,-0.24,-0.559,-0.677,-0.055,0,1,1,0
D4GXG3,tyrA,-0.519,-0.265,-0.59,-1.086,0,0,1,0
D4GXL2,HVO_1339,-1.66,-1.326,-1.483,-1.365,1,1,1,1
D4GXL3,HVO_1340,-1.094,-0.134,-0.6,-0.071,1,0,0,0
D4GXP2,HVO_1356,-0.82,-0.615,-0.707,-1.054,1,1,1,1
D4GXP9,gatE,-0.259,-0.373,-0.368,-0.573,1,1,1,1
D4GXQ2,htpX2,-2.33,-1.932,-1.539,-1.937,1,1,0,1
D4GXR9,proA,-0.43,-0.368,-1.536,-0.081,1,1,1,0
D4GXS0,HVO_2912,-0.607,-0.53,-0.653,-0.305,1,1,1,1
D4GXS1,proB,-0.18,-0.253,-0.873,-1.148,1,1,1,1
D4GXS8,HVO_2916,-0.164,-0.15,-0.553,-0.165,0,0,1,0
D4GXT3,hdrB,-0.801,-1.113,-1.019,-0.765,1,1,1,1
D4GXT9,mmcA2,-0.32,-0.147,-0.655,-0.362,1,0,1,1
D4GXU4,HVO_2924,-2.326,-2.254,-1.639,-2.577,1,1,1,1
D4GXU9,tfs1,-3.236,-4.059,-2.192,-3.424,1,1,1,1
D4GXV8,HVO_1391,-0.581,-0.87,-0.655,-0.487,1,1,1,1
D4GXW7,HVO_1397,-1.108,-1.089,-2.416,-1.173,1,1,1,1
D4GXX0,tsgC11,-0.417,-1.051,-2.043,-2.156,0,1,1,1
D4GXX1,tsgB11,-0.208,-0.915,-1.407,-0.854,0,0,1,1
D4GY20,HVO_1428,-1.49,-0.87,-2.214,-2.103,1,0,1,1
D4GY27,HVO_1431,-1.445,-1.217,-2.425,-1.075,1,1,1,0
D4GY29,HVO_1433,-1.802,-2.313,-1.829,-1.357,1,1,1,0
D4GY62,upp,0.028,-0.33,-1.053,-0.337,0,1,1,1
D4GY71,pyrB,-0.508,-0.176,-1.079,-0.354,1,0,1,1
D4GY73,pyrI,-3.255,-3.151,-3.633,-2.519,1,1,1,1
D4GY76,HVO_1457,-0.426,-0.559,-0.594,-0.171,1,1,1,0
D4GY93,menB,-0.096,-0.422,-0.905,-0.085,0,1,1,0
D4GYA2,menF,-0.377,-0.449,-0.624,-0.531,1,1,1,1
D4GYB4,uvrC,-0.309,-0.515,-0.621,-0.636,0,0,0,1
D4GYD1,HVO_1486,-2.872,-3.448,-3.737,-3.323,1,1,1,1
D4GYE5,ptfC,-6.098,-5.876,-6.632,-6.318,1,1,1,1
D4GYF4,ilvB1,-0.031,-0.335,-0.87,-0.549,0,1,1,1
D4GYH3,aglG,-0.925,-1.429,-1.622,-1.875,1,1,1,1
D4GYJ4,act2,-0.162,0.047,-0.794,0.192,1,0,1,1
D4GYK2,HVO_0006,-0.938,-0.907,-1.075,-0.632,1,1,1,1
D4GYK9,hel308a,0.147,-0.361,-0.344,-0.583,0,1,1,1
D4GYQ2,HVO_0057,-1.46,-1.846,-1.126,-1.194,1,1,1,1
D4GYU1,HVO_0096,-0.985,-1.294,-1.317,-0.62,1,1,1,0
D4GYY2,HVO_1553,-0.441,-0.32,-0.898,-0.42,1,1,1,1
D4GZ05,HVO_1576,-0.082,-0.646,-1.25,-1.477,0,1,1,1
D4GZ08,udp1,-0.841,-1.316,-0.905,-1.053,1,1,1,1
D4GZ20,HVO_1591,-0.374,-0.368,-1.149,0.252,0,0,1,0
D4GZ25,HVO_1596,-0.079,-0.101,-0.815,0.085,0,0,1,0
D4GZ37,HVO_1608,-0.208,-0.221,-0.854,0.219,1,1,1,1
D4GZ38,HVO_1609,-1.26,-1.165,-1.521,-1.147,1,1,1,1
D4GZ42,HVO_1613,-1.924,-1.131,-2.268,-1.654,1,1,1,1
D4GZ48,HVO_1619,-0.107,-1.318,-1.129,-0.605,0,1,1,1
D4GZ65,HVO_1636,-0.784,-0.957,-1.425,-1.29,1,1,1,1
D4GZ70,HVO_1642,-2.753,-1.785,-1.677,-1.765,1,1,1,1
D4GZ76,cyaB,-0.549,-0.387,-0.655,-0.561,1,1,1,1
D4GZ82,tyrS,-0.279,-0.99,-1.009,-0.675,1,1,1,1
D4GZC7,HVO_0183,-2.208,-1.768,-2.81,-1.963,1,1,1,1
D4GZD5,mutS5a,-0.297,-0.223,-0.745,-0.817,1,0,1,1
D4GZD9,rpiA,-0.242,-0.697,-1.442,0.15,1,1,1,1
D4GZE0,HVO_0196,-0.131,-0.337,-0.507,-0.845,0,1,1,1
D4GZE4,pmm2,-0.261,-0.255,-1.07,-0.108,1,1,1,0
D4GZK5,HVO_0260,-0.616,-1.697,-1.262,-0.812,0,1,1,1
D4GZL2,HVO_0266,-2.224,-3.763,-2.396,-1.185,1,1,1,0
D4GZL8,HVO_1653,-0.2,-0.318,-0.566,-0.807,0,0,1,1
D4GZM3,yvoF,-2.235,-2.142,-2.56,-1.939,1,1,1,1
D4GZM4,mscS2,-1.254,-1.212,-0.837,-1.428,1,1,1,1
D4GZN2,gshA,-0.051,0.031,-0.517,-0.461,0,0,1,1
D4GZP5,HVO_1681,-0.197,-0.617,-0.748,-0.808,1,1,1,1
D4GZR3,ashA,-1.037,-0.921,-1.059,-1.455,1,1,1,1
D4GZR6,HVO_0286,-0.871,-0.894,-0.713,-1.107,1,1,1,1
D4GZT5,HVO_0306,-0.768,-0.83,-0.864,-0.624,1,1,1,1
D4GZU9,HVO_0320,-0.832,-1.595,-1.662,-0.87,1,1,1,1
D4GZV1,minD4,0.326,0.213,-0.43,-0.271,1,0,1,0
D4GZV6,ribB,-0.293,-0.512,-0.523,-0.66,1,1,1,1
D4GZV8,ilvE,-0.102,-0.34,-1.122,-0.648,1,1,1,1
D4GZW6,grx1,-1.001,-1.014,-1.265,-0.603,1,1,1,1
D4GZW7,HVO_0338,-0.459,-0.587,-1.754,-0.898,0,0,1,0
D4GZX7,rpoA2,-1.221,-0.951,-0.921,-1.291,1,1,1,1
D4GZY6,tef1a1,-0.497,-0.375,-1.006,-0.482,1,1,1,1
D4H017,HVO_0391,-1.171,-0.988,-0.622,-1.463,1,1,0,1
D4H019,uvrA,-0.218,-0.14,-0.855,-0.041,1,1,1,0
D4H021,HVO_0395,-0.331,-0.93,-0.591,-0.507,0,1,1,0
D4H022,HVO_0396,0.116,0.253,-0.709,-0.499,0,0,1,1
D4H023,HVO_0397,-0.269,-0.249,-0.91,0.274,1,0,1,1
D4H037,HVO_1692,0.152,0.008,-0.347,-0.144,0,0,1,0
D4H045,HVO_1700,-0.529,-0.608,-0.991,-1.028,1,1,1,1
D4H050,sfuA,-1.477,-0.927,-1.38,-1.352,1,1,1,1
D4H051,sfuB,-1.552,-0.993,-1.582,-1.966,1,1,1,1
D4H052,sfuC,-1.048,-0.674,-0.79,-0.685,1,1,1,1
D4H070,HVO_1726,-0.579,-0.719,-1.704,-0.346,1,1,1,0
D4H090,copA,-0.725,-0.729,-1.491,-0.488,0,0,1,0
D4H098,HVO_C0007,-2.852,-4.137,-3.734,-2.075,1,1,1,1
D4H0D8,HVO_C0050,-0.613,-0.19,-0.758,-0.239,1,0,1,0
D4H0F8,HVO_C0076,-0.933,-0.435,-1.181,-1.927,1,0,1,1
P17736,hisC,-0.384,-0.486,-0.464,-0.771,1,1,1,1
P43386,glnA,-0.274,-0.091,-0.341,-0.149,1,0,1,0
Q8NKQ2,pyrE1,-0.273,-0.388,-1.065,0.161,1,1,1,0
P02769,alb,-1.383,-1.163,-1.73,-1.473,1,1,1,1
P13645,krt10,-1.641,-1.227,-1.685,-1.842,1,1,1,1
Q14532,krt32,-1.097,-1.194,-0.871,-0.733,1,1,1,0
P35908,krt2,-1.214,-0.801,-1.163,-1.158,1,1,1,1
P04264,krt1,-0.447,-0.1,-0.747,-0.622,1,0,1,1
Q9NSB4,krt82,-3.585,-3.715,-3.212,-2.749,1,1,1,1
P00761,NA,0.161,-0.726,-0.959,-0.493,0,1,1,1
P00722,lacz,-2.725,-2.692,-2.931,-3.327,1,1,1,1
NA,HVO_1151,-0.387,-0.286,-1.512,-0.253,0,0,1,0
D4GP92,dppD12,0.773,0.657,0.665,0.701,1,1,1,1
D4GPB3,HVO_B0111,1.622,2.067,2.786,1.215,1,1,1,1
D4GQN7,cas5,0.494,1.139,0.544,0.368,0,1,0,0
D4GQQ8,HVO_A0229,2.679,2.772,4.261,3.406,1,1,1,1
D4GR79,HVO_A0415,0.877,1.068,0.417,0.26,1,1,0,0
D4GR83,HVO_A0419,1.039,1.051,1.106,0.823,1,1,1,1
D4GRV8,cxp,0.898,1.088,1.165,0.862,1,1,1,1
D4GS04,ilvA1,1.327,1.563,1.425,1.253,1,1,1,1
D4GS06,citZ,0.637,1.067,0.536,0.679,1,1,1,1
D4GSG3,HVO_0568,0.682,0.611,0.672,0.684,1,0,1,1
D4GSI4,cobY,1.35,1.078,1.302,0.667,1,0,1,0
D4GSM2,HVO_0626,1.558,3.082,3.019,1.235,1,1,1,1
D4GSP2,HVO_2432,0.347,0.635,0.601,0.617,1,1,1,1
D4GSQ4,HVO_0645,0.298,0.928,1.187,0.472,0,1,1,1
D4GT32,scpA,0.259,0.372,0.622,0.584,0,0,1,1
D4GT42,phzF1,1.324,1.711,1.632,1.032,1,1,1,1
D4GT63,pabB,0.583,0.144,0.612,0.242,1,0,1,0
D4GT94,HVO_0727,2.154,2.236,2.124,1.892,1,1,1,1
D4GTB8,asd,0.874,1.877,1.801,0.986,1,1,1,1
D4GTK7,rnhB,1.356,1.612,1.327,0.936,1,1,1,1
D4GTQ2,HVO_2495,1.126,1.468,1.324,1.085,1,1,1,1
D4GU92,icd,1.142,1.072,1.204,0.565,1,1,1,1
D4GUF7,HVO_0826,1.856,2.023,1.469,1.443,1,1,1,1
D4GUG7,ygfD,0.499,0.959,0.86,0.785,1,1,1,1
D4GUG8,guaAb,0.226,0.436,0.463,0.154,1,1,1,0
D4GUI3,petB,1.899,1.556,0.996,0.462,1,1,1,0
D4GUK6,sufC,2.474,2.102,2.113,2.224,1,1,1,1
D4GUK7,sufB1,1.12,0.546,0.506,0.245,1,1,1,1
D4GUM3,mgsA,1.424,1.382,1.589,1.715,1,1,1,1
D4GUQ8,pdxA,0.351,1.564,1.514,0.94,0,1,1,1
D4GUY8,HVO_0909,2.957,2.932,3.1,1.904,1,1,1,1
D4GV69,HVO_0962,0.93,1.434,1.919,1.496,0,1,1,1
D4GVL4,udg4,1.628,0.991,0.5,0.877,1,1,1,1
D4GVN2,trkA1,0.755,0.48,1.036,0.825,1,0,1,1
D4GVP6,mrpG,1.267,2.355,2.324,1.525,0,1,1,1
D4GVS6,HVO_1080,1.748,2.41,2.121,2.052,1,1,1,1
D4GW53,gltS,0.603,0.424,1.083,0.542,1,1,1,1
D4GWJ2,HVO_2343,0.629,2.24,1.117,1.521,1,1,1,1
D4GWM5,pstA1,0.878,0.988,0.86,0.943,0,1,1,1
D4GWP4,znuA1,0.633,0.689,1.333,0.682,0,0,1,0
D4GWQ0,gcvH,1.973,1.766,3.307,1.876,1,1,1,1
D4GWR4,HVO_2417,1.44,1.956,1.757,1.315,1,1,1,1
D4GWX5,rpoN,1.406,1.259,2.093,1.871,1,1,1,1
D4GWY1,rpl13,1.73,2.145,2.44,1.191,1,1,1,1
D4GWY4,rpoD,0.916,0.919,1.292,1.185,1,1,1,1
D4GXE9,porB,2.019,2.1,2.003,1.471,1,1,1,1
D4GXF1,porA,1.567,1.685,1.576,1.002,1,1,1,1
D4GXF2,aroC,0.408,0.645,0.415,0.291,0,1,0,0
D4GXF9,HVO_2861,0.208,0.669,0.524,0.65,0,1,1,1
D4GXG7,surE1,0.46,0.551,1.057,0.603,0,0,1,0
D4GXG9,folD,1.102,0.88,1.531,0.711,1,1,1,1
D4GXK9,rpap1,0.049,0.111,0.237,0.281,0,0,1,1
D4GXL0,rpa1,0.217,0.422,0.537,0.646,1,1,1,1
D4GXR3,mptE,-0.323,0.896,0.938,0.407,0,1,1,0
D4GXS3,proC,1.937,1.872,1.349,1.479,1,1,1,1
D4GXY7,metB2,-0.1,0.281,0.598,0.606,0,1,1,1
D4GXZ2,pheS,0.528,0.514,0.801,0.716,1,1,1,1
D4GY15,oadhA1,1.285,1.084,1.728,1.898,1,1,1,1
D4GY17,oadhB1,0.772,0.795,1.101,1.185,1,1,1,1
D4GY19,dsa1,0.155,0.157,0.367,0.42,0,0,1,1
D4GY35,HVO_1437,0.091,0.675,0.368,0.307,0,1,1,0
D4GY89,fdx,5.041,4.372,5.45,4.799,1,1,1,1
D4GYA1,menD,1.035,1.084,0.809,0.874,1,1,1,1
D4GYA4,HVO_3003,4.661,3.89,4.731,5.017,1,1,1,1
D4GYC9,oapA,1.234,0.88,1.38,0.697,1,1,1,1
D4GYD8,HVO_1492,0.774,0.547,0.861,0.352,1,1,1,1
D4GYI6,HVO_1542,2.834,2.491,2.467,1.867,1,1,1,1
D4GYN2,HVO_0037,0.307,0.131,0.819,0.202,0,0,1,0
D4GYQ5,dppC1,1.247,0.712,0.987,0.356,1,1,1,1
D4GYR5,HVO_0070,2.117,2.091,2.035,2.165,1,1,1,1
D4GYT8,HVO_0093,-0.161,0.585,0.95,0.616,0,1,1,1
D4GYU9,HVO_0103,2.573,1.827,1.525,1.392,1,1,1,1
D4GYW1,rpl39e,3.561,1.327,3.958,2.349,1,1,1,1
D4GYX3,HVO_0127,0.348,0.464,0.738,0.311,0,1,1,0
D4GZ58,HVO_1629,0.677,0.786,1.047,0.561,1,1,1,1
D4GZ66,mtfK2,1.95,1.647,3.006,2.132,1,1,1,1
D4GZA5,hisG,0.465,0.291,0.756,0.991,0,0,1,1
D4GZB1,ahcY,0.623,0.753,1.316,0.58,1,1,1,1
D4GZC4,rlmE,0.7,0.139,0.72,0.479,1,0,1,1
D4GZG5,mcm,0.656,0.24,0.342,0.245,1,0,1,0
D4GZI7,pepB1,2.009,1.741,3.049,1.477,1,1,1,1
D4GZJ5,HVO_0250,0.339,0.318,0.416,0.327,1,1,1,1
D4GZT4,etfB1,0.467,1.03,1.139,1.281,0,1,1,1
D4GZT9,atpH,1.731,1.804,1.569,1.026,1,1,1,1
D4GZX4,rpoB2,0.201,0.685,0.299,0.264,1,1,1,1
D4GZX5,rpoB1,0.955,1.456,1.289,1.132,1,1,1,1
D4GZX6,rpoA1,0.366,0.636,0.474,0.342,1,1,1,1
D4H018,sepF,0.377,0.885,0.736,0.35,1,1,1,1
D4H067,rad25d,0.403,0.247,0.86,0.749,1,0,1,1
P50559,rpl5,2.999,2.972,3.109,2.064,1,1,1,1
Q04829,lpdA,0.274,0.252,0.269,0.559,1,0,1,1
Q48327,ftsZ1,0.657,1.231,0.504,0.475,1,1,1,1
Q48332,atpA,0.857,0.888,0.7,0.263,1,1,1,1
D4GP97,HVO_B0095,-2.711,-2.335,-2.713,1.731,1,1,1,1
D4GPC0,HVO_B0119,0.557,0.783,-1.116,0.306,0,0,1,0
D4GPE4,HVO_B0143,-0.07,0.003,-1.135,1.472,0,0,1,1
D4GPJ5,HVO_B0194,-0.765,-0.314,-0.434,0.292,1,0,1,1
D4GPP7,HVO_B0248,-1.978,-1.048,-1.695,1.434,1,1,1,1
D4GPR5,HVO_B0268,-0.304,0.109,-0.708,0.863,1,0,1,1
D4GPS4,HVO_B0277,0.047,0.351,-0.174,1.016,0,0,0,1
D4GPZ1,HVO_B0344,-0.463,-0.259,-0.448,2.267,1,0,1,1
D4GPZ3,HVO_B0346,0.073,0.504,-0.278,1.113,0,1,0,1
D4GQ18,aldH1,-0.744,0.444,-0.101,1.102,1,1,0,1
D4GQ21,HVO_B0375,-0.244,-0.079,-1.283,0.514,0,0,1,0
D4GQ24,HVO_B0378,0.001,0.067,-1.439,1.962,0,0,1,1
D4GQ28,tbp3,-0.214,0.73,-0.254,0.956,0,1,0,1
D4GQ36,parA3,0.316,0.953,0.356,1.249,1,1,1,1
D4GQ79,HVO_A0047,0.667,-0.334,-0.51,2.126,1,0,1,1
D4GQ80,HVO_A0048,0.164,-0.431,-1.069,1.297,0,0,0,1
D4GQA3,HVO_A0071,-0.977,-1.483,-2.088,0.149,1,1,1,0
D4GQB8,HVO_A0086,-0.057,0.131,-0.015,0.792,0,0,0,1
D4GQE7,HVO_A0115,-0.687,-1.168,-1.544,-0.153,0,1,1,0
D4GQF8,trpS2,-2.19,-1.597,-2.534,0.779,1,1,1,0
D4GQI7,acs8,-1.692,-0.231,-0.81,0.412,1,0,1,0
D4GQQ9,msrA1,-0.244,-0.271,-0.76,0.143,0,0,1,0
D4GQU6,glpA2,-0.279,1.006,0.296,1.358,0,1,0,1
D4GQV1,suhB2,-0.878,0.174,-0.714,0.302,1,0,1,1
D4GQW7,kdgA2,-0.517,0.039,0.543,1.464,0,0,1,1
D4GQY5,HVO_A0307,0.559,0.518,-0.085,1.351,1,1,0,1
D4GR45,hyuE,-1.535,1.633,-0.415,1.614,0,1,0,1
D4GRD0,HVO_A0465,0.325,0.752,-0.502,1.499,1,1,1,1
D4GRD5,HVO_A0470,-0.298,-0.64,-0.702,0.879,0,1,1,1
D4GRD6,HVO_A0471,-0.084,-0.226,-0.007,1.241,0,0,0,1
D4GRD7,trxB6,0.403,1.257,0.263,1.799,1,1,1,1
D4GRG4,HVO_A0501,-0.627,-0.007,-1.273,0.828,1,0,1,1
D4GRG7,fadA4,-1.639,0.23,-1.066,0.14,1,0,1,0
D4GRK9,HVO_A0547,-0.199,0.271,-0.277,0.593,1,1,1,1
D4GRL6,HVO_A0555,0.014,-0.032,-0.77,1.101,0,0,1,1
D4GRR4,HVO_A0605,-0.901,-0.339,-0.089,0.843,1,0,0,1
D4GRS6,HVO_A0618,-0.758,-0.277,-0.616,0.521,1,1,1,1
D4GRU3,sufS2,-0.153,0.715,0.44,1.184,0,1,1,1
D4GRV0,ribE,-1.679,-1.167,-0.866,1.445,1,1,1,1
D4GRW9,HVO_0428,0.197,-0.695,-0.053,1.931,0,1,0,1
D4GRY1,HVO_0440,-0.568,-0.659,-2.219,0.012,0,0,1,0
D4GRY2,HVO_0441,-0.469,-0.878,-0.917,0.795,1,1,1,1
D4GRZ1,hsp20A,0.242,0.452,-1.971,2.707,0,0,1,1
D4GS07,pchB,0.075,-0.113,-0.483,0.61,0,0,1,1
D4GS45,HVO_0508,-0.088,-0.644,-0.697,1.477,0,1,1,1
D4GS57,hda1,-0.064,0.538,-0.037,0.814,0,1,0,1
D4GSA2,katG,-0.372,0.089,-0.318,0.459,1,0,1,1
D4GSA8,HVO_1783,-0.471,-0.075,-0.478,0.555,1,0,0,1
D4GSB6,HVO_1792,-0.1,-0.306,-0.415,0.155,0,0,1,1
D4GSD3,entB2,-0.17,-0.066,-0.959,0.645,0,0,1,1
D4GSF3,ubaA,0.171,0.428,-0.366,1.148,0,1,1,1
D4GSH1,HVO_0575,-0.196,1.112,-1.058,4.378,0,1,1,1
D4GSS9,pat2,-0.055,0.274,-0.202,1.76,0,0,0,1
D4GST0,HVO_1822,-0.176,0.528,-0.667,1.387,1,1,1,1
D4GST1,HVO_1823,0.298,0.479,-0.367,1.079,1,1,1,1
D4GSV6,HVO_1853,0.074,0.106,-1.349,1.544,0,0,1,1
D4GSW7,moaE,-0.015,-0.105,-0.589,0.815,0,0,1,1
D4GSX8,HVO_1875,0.075,-0.244,-0.281,0.849,0,1,1,1
D4GSZ0,HVO_1889,-0.792,-0.968,-1.381,-0.031,1,1,1,0
D4GT22,HVO_2449,-0.45,-0.008,-0.271,0.209,1,0,0,1
D4GTE0,cdc48d,0.26,-0.187,-0.621,0.633,1,1,1,1
D4GTG3,tif2Ba,-1.172,-1.839,-2.022,1.252,1,1,1,1
D4GTG6,mer,-0.779,-0.168,-1.179,0.41,1,0,1,1
D4GTG9,mutS1a,0.318,0.091,-0.577,0.728,0,0,1,1
D4GTH4,HVO_1945,-0.027,-2.294,-2.452,0.25,0,1,1,0
D4GTR4,HVO_2499,0.021,0.085,-0.479,0.528,0,0,0,1
D4GTR7,HVO_2501,0.015,0.463,0.057,1.509,0,1,0,1
D4GTV3,HVO_2521,0.404,1.33,-0.81,1.458,0,1,1,1
D4GTW0,crtI,-0.323,-0.255,-0.089,0.707,1,0,0,1
D4GTW1,HVO_2529,-0.259,0.095,-0.915,0.931,0,0,1,1
D4GTX0,HVO_2538,-0.302,-0.058,-0.849,0.555,0,0,1,1
D4GU01,HVO_2571,-1.491,-1.534,-1.989,0.43,1,1,1,0
D4GU05,HVO_2575,-1.122,-0.149,-0.385,0.638,0,0,0,1
D4GU11,ogt1,-0.382,-0.09,-0.645,0.579,0,0,1,1
D4GU21,fba2,-0.439,-0.443,-0.376,2.237,0,0,0,1
D4GUB9,map,-0.414,-0.367,-0.446,0.93,1,1,1,1
D4GUC9,HVO_2606,-0.744,0.89,-0.612,0.334,1,1,1,0
D4GUD0,ppsA,-0.729,0.278,-0.862,0.345,1,1,1,0
D4GUF3,HVO_0824,-0.124,0.642,-0.06,0.524,0,1,0,1
D4GUF6,samp1,-0.391,-0.523,-1.193,0.323,1,1,1,1
D4GUG2,HVO_2622,-0.391,-0.203,-0.539,0.987,1,0,1,1
D4GUK1,rad50,0.252,-0.363,-0.338,0.98,1,0,1,1
D4GUP9,HVO_2102,-0.576,0.44,0.569,1.187,1,1,1,1
D4GUQ5,HVO_2108,-0.94,-0.647,-1.106,0.055,1,1,1,0
D4GUS8,fbp2,-0.834,0.395,-0.176,0.209,1,1,0,0
D4GUV1,HVO_0884,-0.013,-0.418,-1.052,1.076,0,1,1,1
D4GUV6,HVO_0889,-0.709,-0.159,-0.634,0.122,1,0,1,0
D4GUV7,nosY,-0.402,-0.364,-0.844,0.484,0,0,1,0
D4GUV9,nosD,-0.687,-0.625,-0.946,0.069,1,1,1,0
D4GV14,HVO_0931,0.352,0.88,-0.045,1.93,0,1,0,1
D4GV17,HVO_0932,-0.773,0.814,-1.187,1.513,0,0,0,1
D4GV25,HVO_0937,-0.328,-0.478,-0.542,0.66,1,1,1,1
D4GV31,HVO_2662,-0.434,0.052,-0.697,1.301,1,0,1,1
D4GV36,HVO_2665,-0.317,-0.518,-0.993,1.131,0,1,1,1
D4GV50,HVO_0948,-0.941,-0.697,-1.552,0.455,1,0,1,0
D4GV52,hisD,-0.259,-0.594,-0.531,0.422,1,1,1,1
D4GV67,HVO_0960,-0.555,-0.016,-0.858,0.628,1,0,1,1
D4GV73,HVO_0966,-0.489,-0.319,-0.425,1.301,1,1,1,1
D4GV77,rbcL,-0.054,0.49,-1.539,0.879,0,1,1,1
D4GV89,HVO_2156,0.367,1.222,-0.443,2.193,0,1,1,1
D4GVA1,moxR3,-0.12,0.585,-0.63,0.708,0,1,1,1
D4GVD8,nolA,0.163,0.528,0.033,2.054,0,1,0,1
D4GVE2,oadhA4,-0.427,0.467,-0.298,0.528,1,1,1,1
D4GVG6,HVO_0989,-0.512,-0.118,-1.244,1.825,1,0,1,1
D4GVG7,HVO_0990,-0.526,0.226,-0.296,0.541,1,0,0,1
D4GVG8,HVO_0991,-0.116,0.241,-0.565,1.571,0,0,1,1
D4GVH6,HVO_0999,0.346,-0.076,-0.694,0.714,1,0,1,1
D4GVI2,HVO_1005,0.028,-0.301,-1.716,0.928,0,0,1,1
D4GVI5,HVO_1008,-1.201,-0.994,-1.573,-0.127,1,1,1,0
D4GVJ2,ribL,-0.837,-0.512,-1.061,0.337,1,0,1,0
D4GVJ9,HVO_1022,-0.315,0.23,-0.916,0.696,1,1,1,1
D4GVK7,trxB1,0.266,0.449,0.028,2.51,1,1,0,1
D4GVL2,HVO_1036,-0.422,0.132,0.043,0.472,1,0,0,1
D4GVM0,hisF,-0.388,0.05,-0.628,0.682,1,0,1,1
D4GVP1,HVO_2684,0.335,0.533,-0.163,1.791,1,1,1,1
D4GVR0,HVO_1071,-0.067,0.025,-0.621,0.516,0,0,1,0
D4GVS7,cdc48b,0.367,0.507,-0.579,1.287,1,1,1,1
D4GVT1,HVO_2702,-1.028,-0.382,-0.835,0.821,1,1,1,1
D4GVV5,HVO_2239,0.177,0.49,-0.331,1.277,0,1,1,1
D4GVV7,HVO_2241,0.209,0.471,-0.345,1.119,0,0,0,1
D4GVY3,HVO_2267,0.031,0.341,0.137,0.291,0,1,0,0
D4GW02,HVO_1087,-0.746,0.027,-1.328,1.452,1,0,1,1
D4GW08,tif2Bd,0.147,0.467,-0.339,1.201,1,1,1,1
